,Shape_Area,Shape_Leng,cluster_id,fid_1,id_munic,munic_clus,munic_code,min,max,mean,count,std,range,mean_sd_class,mean_sd_class_idx,mean_sd_class3_idx,mean_sd_class3
0,70000.0,1400.0,101_1,1.0,1.0,101_1,101.0,3.568476915359497,3.568476915359497,3.568477085658482,7,1.7029898513598596e-07,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
1,110000.0,1800.0,101_2,2.0,2.0,101_2,101.0,3.555814504623413,3.555814504623413,3.555813876065341,11,6.285580722575901e-07,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
2,30000.0,800.0,101_3,3.0,3.0,101_3,101.0,2.9470179080963135,2.9470179080963135,2.9470179875691733,3,7.947285984855057e-08,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
3,50000.0,1000.0,101_4,4.0,4.0,101_4,101.0,3.260913133621216,3.260913133621216,3.2609130859375,5,4.7683715642676816e-08,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
4,20000.0,600.0,101_5,5.0,5.0,101_5,101.0,2.443852186203003,2.443852186203003,2.443852186203003,2,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
5,40000.0,1000.0,101_6,6.0,6.0,101_6,101.0,2.06881046295166,2.06881046295166,2.06881046295166,4,0.0,0.0,"(mu-2σ, mu-1σ] (low)",0,0,Low
6,40000.0,1000.0,101_7,7.0,7.0,101_7,101.0,2.4590139389038086,2.4590139389038086,2.4590139389038086,4,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
7,50000.0,1200.0,101_8,8.0,8.0,101_8,101.0,3.2169277667999268,3.2169277667999268,3.216927719116211,5,4.7683715642676816e-08,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
8,90000.0,1400.0,101_9,9.0,9.0,101_9,101.0,3.0004994869232178,3.0004994869232178,3.000499513414171,9,2.6490953430879927e-08,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
9,30000.0,800.0,101_10,10.0,10.0,101_10,101.0,2.767244338989258,2.767244338989258,2.767244338989258,3,0.0,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
10,30000.0,800.0,101_11,11.0,11.0,101_11,101.0,2.57030987739563,2.57030987739563,2.5703099568684897,3,7.947285984855057e-08,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
11,30000.0,800.0,101_12,12.0,12.0,101_12,101.0,2.6152946949005127,2.6152946949005127,2.6152947743733725,3,7.947285984855057e-08,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
12,20000.0,600.0,101_13,13.0,13.0,101_13,101.0,2.2367544174194336,2.2367544174194336,2.2367544174194336,2,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
13,30000.0,800.0,101_14,14.0,14.0,101_14,101.0,2.7605795860290527,2.7605795860290527,2.7605794270833335,3,1.5894571925301193e-07,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
14,10000.0,400.0,101_15,15.0,15.0,101_15,101.0,2.4443519115448,2.4443519115448,2.4443519115448,1,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
15,20000.0,600.0,101_16,16.0,16.0,101_16,101.0,2.1995999813079834,2.1995999813079834,2.1995999813079834,2,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
16,80000.0,1400.0,101_17,17.0,17.0,101_17,101.0,3.221925973892212,3.221925973892212,3.221925973892212,8,0.0,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
17,10000.0,400.0,101_18,18.0,18.0,101_18,101.0,2.89170241355896,2.89170241355896,2.89170241355896,1,0.0,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
18,20000.0,600.0,101_19,19.0,19.0,101_19,101.0,2.3628792762756348,2.3628792762756348,2.3628792762756348,2,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
19,20000.0,600.0,101_20,20.0,20.0,101_20,101.0,2.3897035121917725,2.3897035121917725,2.3897035121917725,2,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
20,20000.0,600.0,101_21,21.0,21.0,101_21,101.0,2.3133957386016846,2.3133957386016846,2.3133957386016846,2,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
21,90000.0,1400.0,101_22,22.0,22.0,101_22,101.0,2.890869617462158,2.890869617462158,2.890869564480252,9,5.2981906417670643e-08,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
22,80000.0,1600.0,101_23,23.0,23.0,101_23,101.0,3.221925973892212,3.221925973892212,3.221925973892212,8,0.0,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
23,100000.0,1600.0,101_24,24.0,24.0,101_24,101.0,3.3813726902008057,3.3813726902008057,3.381372833251953,10,1.4305114737211966e-07,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
24,20000.0,600.0,101_25,25.0,25.0,101_25,101.0,2.619793653488159,2.619793653488159,2.619793653488159,2,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
25,100000.0,1800.0,101_26,26.0,26.0,101_26,101.0,3.5904695987701416,3.5904695987701416,3.590469741821289,10,1.4305114737211966e-07,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
26,110000.0,1600.0,101_27,27.0,27.0,101_27,101.0,2.8183939456939697,2.8183939456939697,2.8183940540660513,11,1.0837208153091638e-07,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
27,50000.0,1200.0,101_28,28.0,28.0,101_28,101.0,2.772742509841919,2.772742509841919,2.7727424621582033,5,4.7683715642676816e-08,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
28,130000.0,1800.0,101_29,29.0,29.0,101_29,101.0,3.1654446125030518,3.1654446125030518,3.1654445941631613,13,1.833989049515594e-08,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
29,40000.0,1000.0,101_30,30.0,30.0,101_30,101.0,2.5423195362091064,2.5423195362091064,2.5423195362091064,4,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
30,10000.0,400.0,101_31,31.0,31.0,101_31,101.0,2.0589804649353027,2.0589804649353027,2.0589804649353027,1,0.0,0.0,"(mu-2σ, mu-1σ] (low)",0,0,Low
31,10000.0,400.0,101_32,32.0,32.0,101_32,101.0,1.9956676959991455,1.9956676959991455,1.9956676959991455,1,0.0,0.0,"(mu-2σ, mu-1σ] (low)",0,0,Low
32,10000.0,400.0,101_33,33.0,33.0,101_33,101.0,2.284072160720825,2.284072160720825,2.284072160720825,1,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
33,30000.0,800.0,101_34,34.0,34.0,101_34,101.0,2.144785165786743,2.144785165786743,2.144785245259603,3,7.947285984855057e-08,0.0,"(mu-2σ, mu-1σ] (low)",0,0,Low
34,10000.0,400.0,101_35,35.0,35.0,101_35,101.0,2.102965831756592,2.102965831756592,2.102965831756592,1,0.0,0.0,"(mu-2σ, mu-1σ] (low)",0,0,Low
35,10000.0,400.0,101_36,36.0,36.0,101_36,101.0,2.450850009918213,2.450850009918213,2.450850009918213,1,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
36,20000.0,600.0,101_37,37.0,37.0,101_37,101.0,2.297067880630493,2.297067880630493,2.297067880630493,2,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
37,30000.0,800.0,101_38,38.0,38.0,101_38,101.0,2.1762747764587402,2.1762747764587402,2.1762747764587402,3,0.0,0.0,"(mu-2σ, mu-1σ] (low)",0,0,Low
38,30000.0,800.0,101_39,39.0,39.0,101_39,101.0,2.05181622505188,2.05181622505188,2.0518163045247397,3,7.947285984855057e-08,0.0,"(mu-2σ, mu-1σ] (low)",0,0,Low
39,20000.0,600.0,101_40,40.0,40.0,101_40,101.0,2.025824785232544,2.025824785232544,2.025824785232544,2,0.0,0.0,"(mu-2σ, mu-1σ] (low)",0,0,Low
40,20000.0,600.0,101_41,41.0,41.0,101_41,101.0,2.253082513809204,2.253082513809204,2.253082513809204,2,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
41,10000.0,400.0,101_42,42.0,42.0,101_42,101.0,3.1222925186157227,3.1222925186157227,3.1222925186157227,1,0.0,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
42,10000.0,400.0,101_43,43.0,43.0,101_43,101.0,2.474008560180664,2.474008560180664,2.474008560180664,1,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
43,10000.0,400.0,101_44,44.0,44.0,101_44,101.0,1.9125291109085083,1.9125291109085083,1.9125291109085083,1,0.0,0.0,"(mu-2σ, mu-1σ] (low)",0,0,Low
44,30000.0,800.0,101_45,45.0,45.0,101_45,101.0,2.3458850383758545,2.3458850383758545,2.3458849589029946,3,7.947285984855057e-08,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
45,20000.0,600.0,101_46,46.0,46.0,101_46,101.0,1.6751081943511963,1.6751081943511963,1.6751081943511963,2,0.0,0.0,"(mu-2σ, mu-1σ] (low)",0,0,Low
46,30000.0,800.0,101_47,47.0,47.0,101_47,101.0,3.4011995792388916,3.4011995792388916,3.4011996587117515,3,7.947285984855057e-08,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
47,10000.0,400.0,101_48,48.0,48.0,101_48,101.0,3.157614231109619,3.157614231109619,3.157614231109619,1,0.0,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
48,10000.0,400.0,101_49,49.0,49.0,101_49,101.0,2.792069673538208,2.792069673538208,2.792069673538208,1,0.0,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
49,20000.0,600.0,101_50,50.0,50.0,101_50,101.0,2.4855048656463623,2.4855048656463623,2.4855048656463623,2,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
50,20000.0,600.0,101_51,51.0,51.0,101_51,101.0,2.176607847213745,2.176607847213745,2.176607847213745,2,0.0,0.0,"(mu-2σ, mu-1σ] (low)",0,0,Low
51,30000.0,800.0,101_52,52.0,52.0,101_52,101.0,2.7887370586395264,2.7887370586395264,2.7887369791666665,3,7.947285984855057e-08,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
52,20000.0,600.0,101_53,53.0,53.0,101_53,101.0,2.625124931335449,2.625124931335449,2.625124931335449,2,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
53,70000.0,1400.0,101_54,54.0,54.0,101_54,101.0,3.449516534805298,3.449516534805298,3.449516568865095,7,3.4059797204832876e-08,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
54,40000.0,1000.0,101_55,55.0,55.0,101_55,101.0,3.374375104904175,3.374375104904175,3.374375104904175,4,0.0,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
55,50000.0,1000.0,101_56,56.0,56.0,101_56,101.0,2.6754415035247803,2.6754415035247803,2.675441551208496,5,4.7683715642676816e-08,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
56,70000.0,1200.0,101_57,57.0,57.0,101_57,101.0,2.9891703128814697,2.9891703128814697,2.989170346941267,7,3.4059797204832876e-08,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
57,20000.0,600.0,101_58,58.0,58.0,101_58,101.0,1.9098634719848633,1.9098634719848633,1.9098634719848633,2,0.0,0.0,"(mu-2σ, mu-1σ] (low)",0,0,Low
58,30000.0,800.0,101_59,59.0,59.0,101_59,101.0,3.3455514907836914,3.3455514907836914,3.3455514907836914,3,0.0,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
59,50000.0,1200.0,101_60,60.0,60.0,101_60,101.0,3.6921026706695557,3.6921026706695557,3.692102813720703,5,1.4305114737211966e-07,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
60,80000.0,1400.0,101_61,61.0,61.0,101_61,101.0,3.251582384109497,3.251582384109497,3.251582622528076,8,2.384185791015625e-07,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
61,30000.0,800.0,101_62,62.0,62.0,101_62,101.0,3.1864378452301025,3.1864378452301025,3.1864379247029624,3,7.947285984855057e-08,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
62,60000.0,1200.0,101_63,63.0,63.0,101_63,101.0,3.1234586238861084,3.1234586238861084,3.1234585444132485,6,7.947285984855057e-08,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
63,90000.0,1400.0,101_64,64.0,64.0,101_64,101.0,2.8530490398406982,2.8530490398406982,2.8530487484402127,9,2.9140048551923314e-07,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
64,100000.0,1600.0,101_65,65.0,65.0,101_65,101.0,2.938520669937134,2.938520669937134,2.938520622253418,10,4.7683715642676816e-08,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
65,210000.0,2400.0,101_66,66.0,66.0,101_66,101.0,3.2879040241241455,3.2879040241241455,3.2879039219447543,21,1.0217939117040942e-07,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
66,40000.0,800.0,101_67,67.0,67.0,101_67,101.0,3.2037651538848877,3.2037651538848877,3.2037651538848877,4,0.0,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
67,110000.0,1600.0,101_68,68.0,68.0,101_68,101.0,3.4993338584899902,3.4993338584899902,3.4993338151411577,11,4.334883252354871e-08,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
68,80000.0,1200.0,101_69,69.0,69.0,101_69,101.0,3.348384141921997,3.348384141921997,3.348384141921997,8,0.0,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
69,100000.0,1400.0,101_70,70.0,70.0,101_70,101.0,3.0044987201690674,3.0044987201690674,3.004499053955078,10,3.3378601083100534e-07,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
70,30000.0,800.0,101_71,71.0,71.0,101_71,101.0,2.962346315383911,2.962346315383911,2.962346394856771,3,7.947285984855057e-08,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
71,30000.0,800.0,101_72,72.0,72.0,101_72,101.0,3.372209310531616,3.372209310531616,3.3722092310587564,3,7.947285984855057e-08,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
72,60000.0,1000.0,101_73,73.0,73.0,101_73,101.0,3.102465867996216,3.102465867996216,3.1024659474690757,6,7.947285984855057e-08,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
73,20000.0,600.0,101_74,74.0,74.0,101_74,101.0,2.5791401863098145,2.5791401863098145,2.5791401863098145,2,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
74,60000.0,1000.0,101_75,75.0,75.0,101_75,101.0,2.6532821655273438,2.6532821655273438,2.6532821655273438,6,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
75,60000.0,1200.0,101_76,76.0,76.0,101_76,101.0,2.252582550048828,2.252582550048828,2.252582550048828,6,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
76,90000.0,1400.0,101_77,77.0,77.0,101_77,101.0,3.3753750324249268,3.3753750324249268,3.3753753238254123,9,2.9140048551923314e-07,0.0,"(mu+1σ, mu+2σ] (high)",2,2,High
77,10000.0,400.0,101_78,78.0,78.0,101_78,101.0,2.2802398204803467,2.2802398204803467,2.2802398204803467,1,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
78,100000.0,1600.0,101_79,79.0,79.0,101_79,101.0,2.9276907444000244,2.9276907444000244,2.927690887451172,10,1.4305114737211966e-07,0.0,"(mu, mu+1σ] (slightly high)",1,1,Medium
79,10000.0,400.0,101_80,80.0,80.0,101_80,101.0,2.234588384628296,2.234588384628296,2.234588384628296,1,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
80,40000.0,1000.0,101_81,81.0,81.0,101_81,101.0,2.334888458251953,2.334888458251953,2.334888458251953,4,0.0,0.0,"(mu-1σ, mu] (slightly low)",1,1,Medium
81,10000.0,400.0,101_82,82.0,82.0,101_82,101.0,1.7884037494659424,1.7884037494659424,1.7884037494659424,1,0.0,0.0,"(mu-2σ, mu-1σ] (low)",0,0,Low
