variable,interval,clusters,time_steps,total_cells,data_points,nan_count,mean,min,max,check_no_nans,check_dims,check_stats,file_size_mb,status
cluster_EMUB_long,1990-1995,1421,6,8526,8526,0,0.08298450218852715,-2.928252783347543,3.688174571806762,PASS,PASS,PASS,0.08,SUCCESS
cluster_EMUB_long,1995-2000,1421,6,8526,8526,0,0.03401736283067044,-2.998171381633115,3.78241268253949,PASS,PASS,PASS,0.08,SUCCESS
cluster_EMUB_long,2000-2005,1421,6,8526,8526,0,-0.009767065510095254,-3.02021093978835,3.784692636831411,PASS,PASS,PASS,0.08,SUCCESS
cluster_EMUB_long,2005-2010,1421,6,8526,8526,0,0.04653527279359219,-3.12736879150863,3.75505323103644,PASS,PASS,PASS,0.08,SUCCESS
cluster_EMUB_long,2010-2015,1421,6,8526,8526,0,-0.021716725077716537,-3.077209797086371,3.5992563544218488,PASS,PASS,PASS,0.08,SUCCESS
cluster_EMUB_long,2015-2020,1421,6,8526,8526,0,-0.10768788449095529,-3.125088837216709,3.5407375275958795,PASS,PASS,PASS,0.08,SUCCESS
cluster_PMB_long,1990-1995,1421,6,8526,8526,0,-0.29990110971304457,-2.068604279143664,2.9103426832365753,PASS,PASS,PASS,0.08,SUCCESS
cluster_PMB_long,1995-2000,1421,6,8526,8526,0,-0.15619456524242337,-2.0678653437084638,3.2938501741055783,PASS,PASS,PASS,0.08,SUCCESS
cluster_PMB_long,2000-2005,1421,6,8526,8526,0,-0.02379265824125295,-2.0678653437084638,3.384000297200026,PASS,PASS,PASS,0.08,SUCCESS
cluster_PMB_long,2005-2010,1421,6,8526,8526,0,0.042539407331390784,-2.0675697695343835,3.556911189036918,PASS,PASS,PASS,0.08,SUCCESS
cluster_PMB_long,2010-2015,1421,6,8526,8526,0,0.16341832430206849,-2.0585547572249387,3.686963825632186,PASS,PASS,PASS,0.08,SUCCESS
cluster_PMB_long,2015-2020,1421,6,8526,8526,0,0.23318726299892586,-2.0675697695343835,3.5074025148784913,PASS,PASS,PASS,0.08,SUCCESS
cluster_PUB_long,1990-1995,1421,6,8526,8526,0,0.467924649639021,-3.356890810242196,6.591192920922991,PASS,PASS,PASS,0.08,SUCCESS
cluster_PUB_long,1995-2000,1421,6,8526,8526,0,0.2632489272256326,-3.0792405189822727,5.297594973007442,PASS,PASS,PASS,0.08,SUCCESS
cluster_PUB_long,2000-2005,1421,6,8526,8526,0,0.07189397089714587,-2.773194175207131,3.8367758269467114,PASS,PASS,PASS,0.08,SUCCESS
cluster_PUB_long,2005-2010,1421,6,8526,8526,0,-0.18678494928033643,-3.0019401538019537,3.759475461766393,PASS,PASS,PASS,0.08,SUCCESS
cluster_PUB_long,2010-2015,1421,6,8526,8526,0,-0.30452273054871093,-2.7826595260455376,4.174373340183209,PASS,PASS,PASS,0.08,SUCCESS
cluster_PUB_long,2015-2020,1421,6,8526,8526,0,-0.2752336163719728,-3.047689349520918,4.286379991771018,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_18_25_long,1990-1995,1421,6,8526,8526,0,0.19947765487791108,-2.143872801541008,8.384825663440393,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_18_25_long,1995-2000,1421,6,8526,8526,0,0.1113855266672309,-2.0892298748532063,8.63196071823295,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_18_25_long,2000-2005,1421,6,8526,8526,0,-0.18756804836058552,-2.0867461054583067,8.27305604066989,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_18_25_long,2005-2010,1421,6,8526,8526,0,-0.1607722084179536,-2.0283775246781546,8.494111516815996,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_18_25_long,2010-2015,1421,6,8526,8526,0,0.04686217348339501,-2.0544571033246055,8.463064399379745,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_18_25_long,2015-2020,1421,6,8526,8526,0,-0.0036100540141689426,-2.0954392983404566,7.686886463473473,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_26_40_long,1990-1995,1421,6,8526,8526,0,-0.2330591359361604,-3.704836163174062,2.726761256227123,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_26_40_long,1995-2000,1421,6,8526,8526,0,0.08290978813946835,-3.7131591620992013,3.1137807062460876,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_26_40_long,2000-2005,1421,6,8526,8526,0,0.30145079086870563,-3.496553115072458,3.594433894172865,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_26_40_long,2005-2010,1421,6,8526,8526,0,0.07982448972839068,-3.1347107368020386,3.5705052722630914,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_26_40_long,2010-2015,1421,6,8526,8526,0,-0.07269441676526452,-3.3542298334525804,2.8266372433287903,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_26_40_long,2015-2020,1421,6,8526,8526,0,-0.09162889765333325,-3.0629248710727146,2.665379139154222,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_41_55_long,1990-1995,1421,6,8526,8526,0,-0.03231945091061808,-3.0250962439776665,3.6198348274034826,PASS,PASS,PASS,0.08,SUCCESS
