location,tau,p_value,slope,trend_class,mean_value,std_value
101_1,0.004032258064516129,0.9870617094920746,0.006666666666666673,No significant trend,23.886562499999997,2.8894372390819894
101_10,-0.6330645161290323,3.859708492814917e-07,-0.2886974789915967,Decreasing,23.0690625,3.49856609857435
101_100,-0.6028225806451613,1.3482705789602534e-06,-0.4187142857142859,Decreasing,17.4553125,4.555118675988997
101_1000,-0.3346774193548387,0.0074570078953755115,-0.4183695652173913,Decreasing,29.4309375,6.192153482117005
101_1001,0.31451612903225806,0.011952275439924609,0.09946666666666668,Increasing,13.311562499999999,1.7430937105026079
101_1002,-0.46774193548387094,0.0001796761088148635,-0.29086956521739127,Decreasing,17.659374999999997,3.876950265269726
101_1003,-0.7096774193548387,1.2557821005287906e-08,-0.2912500000000004,Decreasing,17.582812500000003,5.111451135914707
101_1004,-0.4637096774193548,0.00020435771038096462,-0.23881481481481484,Decreasing,19.0340625,3.13272231790399
101_1005,-0.42338709677419356,0.0007008697006916087,-0.23358974358974371,Decreasing,23.8946875,3.1313874564390383
101_1006,-0.37701612903225806,0.0025591348086346777,-0.1358901515151515,Decreasing,24.526875,2.311943767563346
101_1007,-0.5685483870967742,5.193307037965056e-06,-0.2066666666666666,Decreasing,16.536875000000002,2.501759927406105
101_1008,-0.2056451612903226,0.1014505333614959,-0.09905448717948717,No significant trend,24.1721875,2.377479934687935
101_1009,-0.3951612903225806,0.001565774864560776,-0.14469202898550726,Decreasing,25.181874999999998,2.2121983374858143
101_101,-0.4032258064516129,0.0012506303657648932,-0.2786742424242423,Decreasing,21.979062499999998,3.958277213143838
101_1010,-0.5766129032258065,3.8062807836691803e-06,-0.24272486772486773,Decreasing,16.7725,2.7908488851960436
101_1013,-0.594758064516129,1.8639903685002679e-06,-0.17312937062937062,Decreasing,19.114375000000003,2.0956874431496217
101_1014,-0.4435483870967742,0.0003831828637113066,-0.2256410256410259,Decreasing,20.0721875,3.2594005721671815
101_1015,0.2217741935483871,0.07712890370635717,0.069520202020202,No significant trend,20.011562500000004,1.8963783070879474
101_1016,0.3084677419354839,0.013705116027189268,0.08639318885448913,Increasing,8.0465625,1.5407985133020312
101_1017,-0.7076612903225806,1.38075384459313e-08,-0.6827307692307693,Decreasing,20.7253125,6.451013478698037
