location,tau,p_value,slope,trend_class,mean_value,std_value
101_1,0.03870967741935484,0.7726279905852822,0.0,No significant trend,0.0332258064516129,0.1819852368484907
101_10,-0.10752688172043011,0.4049437537873102,0.0,No significant trend,0.7325806451612904,0.79834089146193
101_100,-0.2817204301075269,0.02713750593978581,-0.04764705882352942,Decreasing,4.360645161290322,1.2184599891080676
101_1000,-0.43010752688172044,0.000718850062535914,-0.0731578947368421,Decreasing,1.219032258064516,1.2167443467758667
101_1001,-0.35268817204301073,0.005598474454852953,-0.02666666666666669,Decreasing,1.2093548387096777,0.5215790880175624
101_1002,-0.06881720430107527,0.5982707245011594,0.0,No significant trend,0.4135483870967742,0.787775751566055
101_1003,-0.18494623655913978,0.14854345071667052,-0.025999999999999978,No significant trend,1.570967741935484,0.6042609713857601
101_1004,-0.789247311827957,4.949776144513862e-10,-0.13666666666666666,Decreasing,2.4961290322580645,1.5775331445203786
101_1005,-0.6129032258064516,1.3861735368436712e-06,-0.046666666666666634,Decreasing,1.2874193548387098,0.5583268076507873
101_1006,-0.03655913978494624,0.7856661000859302,0.0,No significant trend,0.6083870967741937,0.48092717424811937
101_1007,-0.546236559139785,1.707260688599277e-05,-0.08,Decreasing,2.3161290322580643,0.8778701403685377
101_1008,-0.556989247311828,1.159455156796163e-05,-0.0604,Decreasing,1.001290322580645,0.7417057147721746
101_1009,-0.16344086021505377,0.2024043739887733,0.0,No significant trend,0.4087096774193549,0.44977945803925895
101_101,-0.7806451612903226,7.617340092025415e-10,-0.178,Decreasing,2.148709677419354,2.507586864588091
101_1010,-0.20430107526881722,0.1101179540129047,-0.01769230769230769,No significant trend,0.9732258064516127,0.6473189725608641
101_1013,-0.06666666666666667,0.6101267703127584,-0.0049999999999999975,No significant trend,1.1245161290322583,0.6533478977897654
101_1014,0.0989247311827957,0.4443675620908478,0.012666666666666663,No significant trend,3.420000000000001,0.7678793588041155
101_1015,-0.14408602150537633,0.2619630008374654,0.0,No significant trend,0.4774193548387097,0.7110100391375797
101_1016,-0.18924731182795698,0.13922364714154067,-0.03291666666666665,No significant trend,2.4548387096774196,1.0622461623697694
101_1017,0.32903225806451614,0.009781611919498001,0.05692307692307692,Increasing,1.9693548387096775,1.055898747234824
101_1018,-0.33548387096774196,0.008427504795672336,-0.024782608695652176,Decreasing,2.118387096774194,0.4261916634884535
101_1019,-0.5268817204301075,3.3667518407387576e-05,-0.04695652173913044,Decreasing,0.6464516129032257,0.6482509887635208
101_102,-0.11182795698924732,0.3860421406420662,0.0,No significant trend,0.6954838709677419,0.5665506196083135
101_1020,-0.2129032258064516,0.09578337281012361,-0.016923076923076923,No significant trend,0.9235483870967742,0.57914034394201
101_1021,0.13333333333333333,0.2998377295670276,0.0,No significant trend,0.5399999999999999,0.6908620141393252
101_1022,0.017204301075268817,0.9052952265477159,0.0,No significant trend,0.4293548387096775,0.6524936558033982
101_1023,-0.030107526881720432,0.8251287015820885,0.0,No significant trend,0.4961290322580645,0.5743028167144578
101_1024,0.034408602150537634,0.7987646104203716,0.002631578947368412,No significant trend,1.322258064516129,0.5899738084805358
101_1025,0.053763440860215055,0.6833368087995224,0.0,No significant trend,0.10064516129032257,0.3103061493872698
101_1026,0.10967741935483871,0.3954246967469044,0.011052631578947366,No significant trend,1.5870967741935484,0.4128593726712491
101_1027,-0.1978494623655914,0.12194188920122184,0.0,No significant trend,0.4051612903225806,0.5593133518863421
101_1028,-0.06451612903225806,0.6220860087372633,-0.0005000000000000115,No significant trend,1.3758064516129032,0.896774773729216
101_1029,-0.4860215053763441,0.00013120067777006028,-0.03538461538461539,Decreasing,1.388709677419355,0.48056916480815964
101_103,-0.09247311827956989,0.47532023939393775,-0.017857142857142867,No significant trend,2.5816129032258064,0.8972614132483769
101_1030,0.07956989247311828,0.5406231028187141,0.0,No significant trend,0.19903225806451613,0.4130246797180424
101_1031,-0.3548387096774194,0.005313081962207367,0.0,Decreasing,0.3496774193548387,0.4915904660022486
101_1032,-0.32688172043010755,0.010274278203273202,-0.010000000000000009,Decreasing,0.4619354838709678,0.4565538469802962
101_1033,0.18494623655913978,0.14854345071667052,0.0,No significant trend,0.3674193548387097,0.3934050505762967
101_1034,0.03655913978494624,0.7856661000859302,0.0011111111111111122,No significant trend,1.2045161290322577,0.2901594523781199
101_1035,-0.26021505376344084,0.04139316901026291,-0.01333333333333333,Decreasing,0.6587096774193548,0.488386031447255
101_1036,0.04086021505376344,0.7596537518193331,0.0050000000000000044,No significant trend,1.694193548387097,0.37927583114062113
