location,tau,p_value,slope,trend_class,mean_value,std_value
101_1,0.9010752688172043,1.2074785615823203e-12,5205.974761904762,Increasing,274580.7735483871,46523.41065543306
101_10,0.8709677419354839,6.577183242484352e-12,2910.0200000000004,Increasing,199215.3790322581,26549.93920069284
101_100,0.7634408602150538,1.779737912599444e-09,1597.294090909091,Increasing,156701.44806451615,15329.786143848363
101_1000,0.9182795698924732,4.4719783431901305e-13,2651.649411764706,Increasing,155963.26258064518,23874.06012120551
101_1001,0.8064516129032258,2.0618773355352005e-10,848.6731578947365,Increasing,106797.85290322581,8361.476906216676
101_1002,0.8666666666666667,8.341327628613726e-12,4083.7305263157914,Increasing,223830.33838709682,37222.751942604045
101_1003,0.7849462365591398,6.143836550620563e-10,1422.7942857142855,Increasing,169308.58806451608,13791.57335186831
101_1004,0.9354838709677419,1.6253665080512292e-13,2974.767142857146,Increasing,169604.37064516128,27212.886516030616
101_1005,0.8494623655913979,2.1334267685801933e-11,2247.245333333333,Increasing,170783.70870967742,20523.326040874963
101_1006,0.9397849462365592,1.2589929099249275e-13,3584.1488888888885,Increasing,213730.17935483874,32671.717701677535
101_1007,0.9440860215053763,9.725553695716371e-14,3817.4522727272733,Increasing,191525.73419354841,37082.51311397865
101_1008,0.8924731182795699,1.971089957919503e-12,3146.371999999997,Increasing,183267.73032258064,28423.74823342684
101_1009,0.9354838709677419,1.6253665080512292e-13,4630.650000000002,Increasing,225771.785483871,41120.753951924824
101_101,0.9483870967741935,7.527312106958561e-14,4077.3777777777773,Increasing,185442.54838709676,36872.1134115383
101_1010,0.9612903225806452,3.441691376337985e-14,4671.242500000004,Increasing,222825.24193548385,42002.76362904065
101_1013,0.9053763440860215,9.43689570931383e-13,3737.301052631579,Increasing,201491.38387096775,34081.62586704792
101_1014,0.8279569892473119,6.726863510664316e-11,1107.4878571428583,Increasing,150069.3080645161,12550.792441567168
101_1015,0.8021505376344086,2.5708679629588005e-10,2117.3370833333333,Increasing,206009.3270967742,19712.92119486545
101_1016,0.5311827956989247,2.9007853530993444e-05,464.33666666666653,Increasing,163804.1687096774,5378.258679384896
101_1017,0.6043010752688172,1.945575674344724e-06,1031.9639999999995,Increasing,164156.67516129027,11204.973122818988
101_1018,0.6989247311827957,3.653338875864165e-08,853.5059090909093,Increasing,149233.84645161295,8444.17490253968
101_1019,0.9225806451612903,3.4772185131259903e-13,3180.969047619048,Increasing,204269.0287096774,29027.872499972444
101_102,0.8838709677419355,3.2027713814386516e-12,2274.048636363637,Increasing,174337.60838709673,20690.08782568243
101_1020,0.8451612903225807,2.6903368421926643e-11,1724.6825000000026,Increasing,176381.99645161288,16470.08798839543
101_1021,0.8021505376344086,2.5708679629588005e-10,2509.82666666667,Increasing,209132.8070967742,23489.053583012388
101_1022,0.875268817204301,5.1803006329009804e-12,3088.714583333332,Increasing,218575.08935483868,29444.186193012363
101_1023,0.9311827956989247,2.0961010704922955e-13,3881.1281249999993,Increasing,239191.3577419355,35517.55349398812
101_1024,0.896774193548387,1.5436540934388177e-12,2675.968181818181,Increasing,172629.8303225806,24035.864011824076
101_1025,0.9311827956989247,2.0961010704922955e-13,4372.155238095239,Increasing,253506.84709677417,39323.20698591373
101_1026,0.6645161290322581,1.650774061889848e-07,1296.8047619047616,Increasing,165403.99161290322,13327.836821385943
101_1027,0.9440860215053763,9.725553695716371e-14,4772.619999999995,Increasing,238498.17741935482,44064.60849768578
101_1028,0.9225806451612903,3.4772185131259903e-13,2665.239999999998,Increasing,161474.26032258064,26292.22060242958
101_1029,0.9440860215053763,9.725553695716371e-14,2516.043999999999,Increasing,178907.93935483872,23065.119011268373
101_103,0.7462365591397849,4.083862803483385e-09,1318.9566666666651,Increasing,156835.09129032257,14091.298713047718
101_1030,0.956989247311828,4.4853010194856324e-14,5667.483333333327,Increasing,266342.16193548386,51012.17905953892
101_1031,0.9182795698924732,4.4719783431901305e-13,4071.329999999999,Increasing,223290.0506451613,37786.12551825074
101_1032,0.8623655913978494,1.0566436614567465e-11,3683.5345454545472,Increasing,231416.6616129032,32951.032592678224
101_1033,0.789247311827957,4.949776144513862e-10,2679.6979999999994,Increasing,172929.55870967737,26421.057398593868
101_1034,0.978494623655914,1.199040866595169e-14,3160.137499999997,Increasing,193507.56419354837,29081.91262977316
101_1035,0.9655913978494624,2.6423307986078726e-14,3526.7171999999996,Increasing,204699.25451612903,31589.39873025114
101_1036,0.956989247311828,4.4853010194856324e-14,2378.5431578947373,Increasing,185791.79225806452,22299.127351664527
101_1037,0.9483870967741935,7.527312106958561e-14,4381.211052631579,Increasing,229072.17032258064,39896.61856494515
101_1038,0.875268817204301,5.1803006329009804e-12,2017.4942857142867,Increasing,165542.07322580647,18795.73039629589
101_1039,0.9096774193548387,7.365219545363288e-13,2536.0512500000004,Increasing,198652.84032258063,22983.70913399672
101_104,0.7806451612903226,7.617340092025415e-10,1366.4492307692306,Increasing,163400.7077419355,13790.858644427899
101_1040,0.9182795698924732,4.4719783431901305e-13,2292.5650000000023,Increasing,200756.03838709675,21184.305850810666
101_1042,0.9483870967741935,7.527312106958561e-14,2389.273076923076,Increasing,168798.53096774194,22178.50156528896
101_1043,0.9612903225806452,3.441691376337985e-14,3265.8795652173903,Increasing,201931.51741935484,29320.526862848586
101_1044,0.896774193548387,1.5436540934388177e-12,2132.366666666659,Increasing,155247.23677419353,19643.24135490231
101_1045,0.9354838709677419,1.6253665080512292e-13,2226.984444444443,Increasing,169376.63451612904,21168.44705326193
101_1046,0.853763440860215,1.6898704657819508e-11,3106.8407692307687,Increasing,209547.66677419352,28203.567751916613
101_1047,0.7935483870967742,3.983280372210629e-10,1077.6812500000003,Increasing,164510.2812903226,10015.34981224473
101_1048,0.9096774193548387,7.365219545363288e-13,3686.660769230771,Increasing,210904.47935483875,35402.15086141764
101_1049,0.9096774193548387,7.365219545363288e-13,1788.6284210526317,Increasing,164211.2522580645,16098.179241229116
101_105,0.8795698924731182,4.075406678794025e-12,2035.1944444444443,Increasing,165069.41580645164,19150.908283394772
101_1050,0.9225806451612903,3.4772185131259903e-13,4018.840555555556,Increasing,215933.17516129033,36496.052727859074
101_1051,0.9440860215053763,9.725553695716371e-14,3642.7000000000007,Increasing,178647.34709677417,32767.61284428094
101_1052,0.9010752688172043,1.2074785615823203e-12,2031.7280952380943,Increasing,174284.41645161287,18613.12492923926
101_1054,0.9483870967741935,7.527312106958561e-14,2912.0773333333345,Increasing,162877.68516129034,28446.029313584615
101_1055,0.9354838709677419,1.6253665080512292e-13,4697.313333333334,Increasing,221975.8996774193,42453.14024570023
101_1056,0.7290322580645161,9.203571460503213e-09,1577.8077777777783,Increasing,148424.5735483871,15423.437229398547
