location,tau,p_value,slope,trend_class,mean_value,std_value
101_1,-0.8044354838709677,1.0882916789967112e-10,-0.4784593837535014,Decreasing,12.4840625,4.486389736870143
101_10,-0.8266129032258065,3.299827078251383e-11,-0.9073461538461538,Decreasing,22.8634375,8.25399396102237
101_100,-0.9112903225806451,2.6001423236721166e-13,-0.7124999999999999,Decreasing,43.480624999999996,6.939905860987956
101_1000,-0.9657258064516129,9.103828801926284e-15,-2.1694736842105273,Decreasing,44.70343750000001,20.513494127246915
101_1001,-0.782258064516129,3.479141419404641e-10,-0.4284523809523809,Decreasing,13.619062499999998,4.153716227198694
101_1002,-0.5887096774193549,2.370209626567643e-06,-0.36071428571428565,Decreasing,17.9859375,3.975610691591136
101_1003,-0.592741935483871,2.019923096563403e-06,-0.22499999999999992,Decreasing,38.971875,2.7987278778714804
101_1004,-0.9334677419354839,6.772360450213455e-14,-0.9548076923076924,Decreasing,22.6784375,8.940963702733265
101_1005,-0.8951612903225806,6.774580896262705e-13,-0.6364285714285715,Decreasing,20.9315625,6.111560822211765
101_1006,-0.9435483870967742,3.6415315207705135e-14,-0.8219047619047618,Decreasing,22.015,7.748371603117651
101_1007,-0.9274193548387096,9.814371537686384e-14,-1.318598901098901,Decreasing,42.663125,12.969619654576421
101_1008,-0.9193548387096774,1.6009416015094757e-13,-0.696287878787879,Decreasing,17.623125,7.462810059513441
101_1009,-0.7338709677419355,3.942868698203483e-09,-0.3071428571428572,Decreasing,14.318750000000001,3.144846727187193
101_101,-0.8649193548387096,3.903322109977125e-12,-0.7089285714285718,Decreasing,19.1515625,7.520918789190171
101_1010,-0.8709677419354839,2.7626789744772395e-12,-0.6473461538461538,Decreasing,24.3821875,6.427292749660913
101_1013,-0.7580645161290323,1.193087628692524e-09,-0.6179666666666666,Decreasing,22.824375,6.098182074141031
101_1014,-0.7842741935483871,3.1343416750928554e-10,-0.5932291666666669,Decreasing,27.3425,6.129938825143364
101_1015,-0.7560483870967742,1.3199186188472822e-09,-0.44572727272727275,Decreasing,21.415,4.569154735834627
101_1016,-0.7298387096774194,4.794858066148322e-09,-0.5259166666666668,Decreasing,49.3275,5.7987687270661175
101_1017,-0.43548387096774194,0.0004893169184720936,-0.18833333333333357,Decreasing,42.1140625,2.741795556035087
101_1018,-0.05241935483870968,0.6851751854528196,-0.027223529411764705,No significant trend,46.042812500000004,3.5855754719213135
101_1019,-0.9314516129032258,7.682743330406083e-14,-0.6967361111111112,Decreasing,15.645624999999999,7.433516974445878
101_102,-0.844758064516129,1.2144951710979512e-11,-0.6625541125541123,Decreasing,26.488437500000003,6.422649915229208
101_1020,-0.9294354838709677,8.681944052568724e-14,-0.8623809523809525,Decreasing,21.3709375,8.424060169899889
101_1021,-0.7782258064516129,4.2833958602273015e-10,-0.31683333333333336,Decreasing,14.0840625,3.169144067582563
101_1022,-0.8245967741935484,3.682676386063122e-11,-0.6207142857142858,Decreasing,15.3828125,6.266783582097259
101_1023,-0.7479838709677419,1.9721104749237384e-09,-0.41249999999999987,Decreasing,17.3284375,4.0971248374431735
101_1024,-0.8185483870967742,5.111089329545848e-11,-0.5149411764705882,Decreasing,29.0953125,5.008268153997323
101_1025,-0.6350806451612904,3.54369133592769e-07,-0.30431372549019603,Decreasing,15.0659375,3.374510945469543
101_1026,-0.7520161290322581,1.6142178704825483e-09,-0.43010536398467436,Decreasing,47.6934375,4.182379413514961
101_1027,-0.8467741935483871,1.0854206422550305e-11,-0.6090625000000001,Decreasing,21.765,5.8956721414949795
101_1028,-0.8669354838709677,3.4794389591752406e-12,-1.2973030303030306,Decreasing,53.416875000000005,12.372670093168047
101_1029,-0.9596774193548387,1.3322676295501878e-14,-0.7479861111111112,Decreasing,25.1665625,7.036277695528635
101_103,-0.594758064516129,1.8639903685002679e-06,-0.5361151960784314,Decreasing,49.9928125,6.124915935328725
101_1030,-0.7923387096774194,2.0593349248088089e-10,-0.47593045112781956,Decreasing,15.349062499999999,4.854321115881576
101_1031,-0.6915322580645161,2.9223376829534686e-08,-0.20740384615384613,Decreasing,15.4559375,2.3198300845307074
101_1032,-0.7963709677419355,1.666657922783088e-10,-0.4383958333333334,Decreasing,15.689374999999998,4.427035504643598
101_1033,-0.8245967741935484,3.682676386063122e-11,-0.8492444444444447,Decreasing,23.679375,9.26651361674794
