location,tau,p_value,slope,trend_class,mean_value,std_value
101_1,0.03225806451612903,0.8119200006410021,0.012631578947368433,No significant trend,6.510645161290323,2.410382027656774
101_10,-0.26021505376344084,0.04139316901026291,-0.11423076923076926,Decreasing,14.726774193548387,2.9014316678503724
101_100,-0.47096774193548385,0.00021120825007803212,-0.22399999999999984,Decreasing,15.34290322580645,3.397820167969541
101_1000,0.5010752688172043,8.041203646391715e-05,0.3116666666666668,Increasing,11.643870967741936,3.9165634025988245
101_1001,-0.05591397849462366,0.6709019753135215,-0.02666666666666669,No significant trend,25.843870967741932,2.7302991416153497
101_1002,-0.5806451612903226,4.830075495565467e-06,-0.2742857142857143,Decreasing,12.261290322580646,3.0386719742883903
101_1003,-0.16129032258064516,0.20848766222654147,-0.06333333333333337,No significant trend,15.010645161290322,17.488064120437716
101_1004,-0.45376344086021503,0.00035800799918561665,-0.26192307692307687,Decreasing,20.95032258064516,4.245543761572314
101_1005,-0.3032258064516129,0.017336219440732936,-0.12777777777777802,Decreasing,16.45774193548387,2.537154501732358
101_1006,0.06666666666666667,0.6101267703127584,0.02666666666666669,No significant trend,11.162903225806454,2.008551385465184
101_1007,0.08387096774193549,0.5183675363290698,0.03153846153846155,No significant trend,10.690967741935484,6.489968117044163
101_1008,-0.210752688172043,0.09921885768990202,-0.08684210526315782,No significant trend,18.57032258064516,2.6577804029180583
101_1009,-0.06451612903225806,0.6220860087372633,-0.024615384615384636,No significant trend,12.040967741935484,2.702070120193643
101_101,-0.4989247311827957,8.630833449374542e-05,-0.2866666666666668,Decreasing,17.23548387096774,5.6553433703743075
101_1010,-0.2,0.11789500171022893,-0.09227272727272724,No significant trend,11.72903225806452,2.7927733410435023
101_1013,0.06666666666666667,0.6101267703127584,0.028928571428571446,No significant trend,14.350322580645164,2.8498811337645105
101_1014,-0.13978494623655913,0.2766963536434415,-0.07999999999999982,No significant trend,26.444193548387094,3.5225913978330508
101_1015,-0.221505376344086,0.08298294959133434,-0.07173913043478262,No significant trend,8.454193548387098,2.3256116423268347
101_1016,-0.2709677419354839,0.033624002608237724,-0.14842105263157895,Decreasing,9.839032258064517,6.903010729239213
101_1017,-0.015053763440860216,0.9187737391879132,-0.00807692307692311,No significant trend,10.816129032258065,2.644025129717281
101_1018,-0.24731182795698925,0.05267307614212502,-0.13800000000000026,No significant trend,9.397741935483868,4.8072799026512865
101_1019,-0.10967741935483871,0.3954246967469044,-0.0600000000000005,No significant trend,15.324516129032258,2.484661122749165
101_102,-0.11827956989247312,0.3587201702049656,-0.05333333333333338,No significant trend,14.25322580645161,4.636284933140921
101_1020,0.2086021505376344,0.10275196797700414,0.08499999999999996,No significant trend,21.48258064516129,2.9327186195680066
101_1021,0.221505376344086,0.08298294959133434,0.12647058823529414,No significant trend,19.491612903225807,3.135625776690581
101_1022,0.012903225806451613,0.9322756334126572,0.003529411764705807,No significant trend,14.098064516129032,2.624210381213733
101_1023,0.07096774193548387,0.5865203757130351,0.02759999999999998,No significant trend,9.373225806451615,1.9860666056088532
101_1024,-0.26881720430107525,0.035069438571895484,-0.08649999999999994,Decreasing,17.504838709677415,2.6774649432574327
101_1025,-0.13978494623655913,0.2766963536434415,-0.11,No significant trend,10.83806451612903,3.4970950334895137
101_1026,-0.07096774193548387,0.5865203757130351,-0.021999999999999974,No significant trend,9.725483870967741,3.708351375902668
101_1027,-0.24516129032258063,0.05478277122914399,-0.09666666666666668,No significant trend,8.58548387096774,2.462114012597747
101_1028,-0.14408602150537633,0.2619630008374654,-0.113448275862069,No significant trend,15.776774193548386,4.39837461701389
101_1029,-0.16989247311827957,0.18493228677225515,-0.03958333333333338,No significant trend,15.103548387096772,1.9325906870798384
101_103,-0.15698924731182795,0.22104956212356597,-0.09785714285714286,No significant trend,10.943870967741939,3.3402459610221626
101_1030,-0.221505376344086,0.08298294959133434,-0.08,No significant trend,6.900967741935484,2.1970909723757233
101_1031,-0.47096774193548385,0.00021120825007803212,-0.2450000000000001,Decreasing,11.09677419354839,3.1102851099441793
101_1032,0.17849462365591398,0.16340634586373248,0.07166666666666661,No significant trend,12.09741935483871,2.664806435798021
101_1033,-0.04516129032258064,0.7339104943970112,-0.05791666666666654,No significant trend,18.2958064516129,8.304077029831655
101_1034,-0.053763440860215055,0.6833368087995224,-0.018571428571428683,No significant trend,11.82064516129032,2.010652173900814
101_1035,-0.14838709677419354,0.24778083040054266,-0.05541666666666659,No significant trend,11.409032258064517,3.6447065945353874
101_1036,0.33978494623655914,0.007620496341621097,0.09230769230769226,Increasing,11.15064516129032,3.18156680358945
101_1037,-0.17419354838709677,0.1739206495334844,-0.06666666666666672,No significant trend,9.363870967741937,2.2541627119038616
101_1038,0.05806451612903226,0.6585566199856316,0.020869565217391323,No significant trend,13.412903225806453,1.9417620756356044
101_1039,0.17204301075268819,0.17936364721043319,0.07210526315789478,No significant trend,18.55032258064516,2.4200526305540144
101_104,-0.11397849462365592,0.3767967991819643,-0.05624999999999991,No significant trend,10.59290322580645,2.6109264127068452
101_1040,-0.1870967741935484,0.14382566910763628,-0.07470588235294126,No significant trend,12.571290322580646,2.350246029585789
101_1042,-0.32688172043010755,0.010274278203273202,-0.12307692307692306,Decreasing,17.378709677419355,2.35267554202346
101_1043,-0.025806451612903226,0.8516915353162966,-0.0060000000000001085,No significant trend,10.880967741935484,1.6637779683574596
101_1044,-0.5161290322580645,4.862413806594468e-05,-0.21909090909090911,Decreasing,14.506451612903223,3.0326253380869646
101_1045,-0.24516129032258063,0.05478277122914399,-0.08750000000000002,No significant trend,14.638709677419357,2.319033088185655
101_1046,0.010752688172043012,0.9457970432721066,0.010666666666666677,No significant trend,14.923548387096778,3.191942020238136
101_1047,-0.4150537634408602,0.0011011819487161123,-0.1471428571428571,Decreasing,9.42290322580645,2.4157683524233526
101_1048,-0.3161290322580645,0.013083919895177765,-0.16749999999999998,Decreasing,16.514193548387098,6.044912963536577
101_1049,0.021505376344086023,0.8784237055808175,0.005714285714285593,No significant trend,12.846451612903229,3.646412774032368
101_105,-0.04946236559139785,0.7084629632532715,-0.0216666666666665,No significant trend,14.555483870967743,2.9533183509398238
101_1050,0.04086021505376344,0.7596537518193331,0.025263157894736866,No significant trend,12.441935483870965,2.431804612475481
101_1051,-0.23010752688172043,0.07160518117391312,-0.1146666666666666,No significant trend,17.284193548387094,3.3046075109229993
101_1052,0.5053763440860215,6.974277946447671e-05,0.253,Increasing,11.809354838709679,3.077296609440921
101_1054,-0.44086021505376344,0.0005257753160301526,-0.18750000000000008,Decreasing,16.24709677419355,3.354615687376065
101_1055,-0.221505376344086,0.08298294959133434,-0.09440000000000005,No significant trend,9.865161290322579,2.883871581150256
101_1056,-0.1935483870967742,0.1303606801133712,-0.13999999999999937,No significant trend,20.40258064516129,5.258546940069634
101_1057,0.14838709677419354,0.24778083040054266,0.0620000000000001,No significant trend,16.381612903225808,2.048415747831123
101_1058,0.5655913978494623,8.465459469420011e-06,0.27133333333333337,Increasing,21.014193548387095,3.47931099426267
101_1059,-0.13118279569892474,0.30783043013369626,-0.04153846153846154,No significant trend,9.113870967741937,1.897724745361436
101_106,0.15483870967741936,0.22753013024096425,0.06555555555555553,No significant trend,13.87225806451613,2.680317397764217
101_1060,-0.3204301075268817,0.011887389113116376,-0.11600000000000002,Decreasing,20.033870967741937,2.5448476441110914
101_1061,-0.13548387096774195,0.29198463590975887,-0.06111111111111119,No significant trend,15.54032258064516,2.5452099018212277
101_1063,0.42795698924731185,0.0007646309234956572,0.1207692307692308,Increasing,10.321612903225807,1.8132079872410658
101_1064,-0.24731182795698925,0.05267307614212502,-0.10785714285714297,No significant trend,10.441612903225806,2.9589046543242814
101_1065,-0.17419354838709677,0.1739206495334844,-0.08150000000000004,No significant trend,11.628387096774196,2.259587596934583
101_1066,0.0967741935483871,0.45455525621868187,0.03687499999999999,No significant trend,15.510967741935485,2.507579934516879
101_1067,-0.043010752688172046,0.7467467998855972,-0.00933333333333337,No significant trend,7.356774193548386,1.8133134652356702
101_1068,0.2860215053763441,0.024862848209154853,0.2466666666666666,Increasing,16.54064516129032,6.134658775632458
101_1069,-0.0967741935483871,0.45455525621868187,-0.029999999999999978,No significant trend,12.073870967741936,2.0288288015333675
101_107,-0.12688172043010754,0.3242351019547285,-0.06499999999999995,No significant trend,13.737741935483871,3.311839669718152
101_1070,0.34838709677419355,0.006211110408963716,0.12363636363636359,Increasing,13.513870967741937,2.1126648474247456
