location,tau,p_value,slope,trend_class,mean_value,std_value
101_1,0.17849462365591398,0.16340634586373248,0.050454545454545446,No significant trend,6.642258064516129,2.3091524903577256
101_10,-0.23225806451612904,0.06896994111977195,-0.08571428571428566,No significant trend,15.075806451612902,2.544471266698673
101_100,-0.3204301075268817,0.011887389113116376,-0.16391304347826086,Decreasing,16.759354838709676,2.9897253466301947
101_1000,0.610752688172043,1.5094086633915538e-06,0.3788235294117648,Increasing,11.166451612903225,4.394362626459038
101_1001,-0.20430107526881722,0.1101179540129047,-0.10374999999999979,No significant trend,26.449354838709684,2.9730270611529184
101_1002,-0.3956989247311828,0.0018686938185774604,-0.267,Decreasing,13.081612903225803,3.938716097323769
101_1003,0.17419354838709677,0.1739206495334844,0.04700000000000006,No significant trend,11.816451612903228,1.7443559646842892
101_1004,-0.5182795698924731,4.5202596182347676e-05,-0.1973076923076924,Decreasing,21.423225806451605,2.7548717985472213
101_1005,-0.18494623655913978,0.14854345071667052,-0.06761904761904754,No significant trend,17.164838709677422,2.1891018499533783
101_1006,0.08817204301075268,0.49659521437046883,0.017857142857142856,No significant trend,11.368709677419355,1.3595083122940697
101_1007,0.3333333333333333,0.008858992984779324,0.12375000000000003,Increasing,9.13032258064516,2.115510285228949
101_1008,-0.09032258064516129,0.4858947339033992,-0.038000000000000256,No significant trend,19.43354838709677,2.3029834064185817
101_1009,-0.060215053763440864,0.6463036389969625,-0.02833333333333332,No significant trend,12.393548387096775,2.5408768468551353
101_101,-0.3741935483870968,0.0032780980642772573,-0.17333333333333348,Decreasing,16.88741935483871,3.274083932695536
101_1010,-0.221505376344086,0.08298294959133434,-0.09850000000000003,No significant trend,12.85483870967742,2.8748339317734084
101_1013,0.11612903225806452,0.3676892969544798,0.054285714285714146,No significant trend,14.64774193548387,2.9319790846384874
101_1014,-0.3247311827956989,0.010788909951167325,-0.16000000000000014,Decreasing,28.538064516129033,3.0567180580093174
101_1015,0.03225806451612903,0.8119200006410021,0.010909090909090839,No significant trend,9.081290322580646,2.104305481833398
101_1016,-0.2946236559139785,0.020804552083621086,-0.13846153846153844,Decreasing,10.55741935483871,2.612709590594921
101_1017,0.12688172043010754,0.3242351019547285,0.04499999999999993,No significant trend,10.10483870967742,1.9852713651640348
101_1018,0.2086021505376344,0.10275196797700414,0.1623529411764706,No significant trend,10.609032258064515,3.6885405408562426
101_1019,0.15698924731182795,0.22104956212356597,0.0674999999999999,No significant trend,14.942903225806454,2.5030474246385337
101_102,-0.008602150537634409,0.959334085947048,-0.004615384615384517,No significant trend,14.046129032258067,2.5308568960950684
101_1020,0.3096774193548387,0.015078520915366989,0.17538461538461542,Increasing,21.297419354838706,3.2930532628373106
101_1021,0.11397849462365592,0.3767967991819643,0.10000000000000009,No significant trend,19.47774193548387,4.033503007814407
101_1022,0.15053763440860216,0.2408949627928283,0.08777777777777782,No significant trend,13.802903225806451,2.7909602851376083
101_1023,0.2924731182795699,0.021760860424100192,0.11999999999999998,Increasing,10.061290322580644,2.6266054899020843
101_1024,0.053763440860215055,0.6833368087995224,0.022105263157894732,No significant trend,13.939032258064517,3.582681780579305
101_1025,-0.1870967741935484,0.14382566910763628,-0.08000000000000007,No significant trend,9.708387096774192,2.8535999864056194
101_1026,0.24086021505376345,0.05921383944155778,0.05624999999999991,No significant trend,9.133870967741936,1.5396431874434409
101_1027,-0.15913978494623657,0.21470238954837217,-0.07916666666666668,No significant trend,9.355161290322583,3.0546103399327613
101_1028,0.33763440860215055,0.008014910367279748,0.17714285714285719,Increasing,9.935806451612901,5.3972237631615565
101_1029,-0.07526881720430108,0.5633463699559165,-0.027058823529411608,No significant trend,15.887096774193548,1.9135833529531114
101_103,0.02795698924731183,0.8383870987564421,0.014705882352941176,No significant trend,11.949677419354838,3.668123792077667
101_1030,-0.2086021505376344,0.10275196797700414,-0.079,No significant trend,7.13516129032258,2.0506550817502225
101_1031,-0.34838709677419355,0.006211110408963716,-0.13722222222222216,Decreasing,11.267096774193549,2.438150004049722
101_1032,-0.01935483870967742,0.8918439412522505,-0.011428571428571439,No significant trend,12.88516129032258,2.7865366073870286
