location,cluster
101_1,3
101_10,2
101_100,4
101_1000,2
101_1001,5
101_1002,5
101_1003,3
101_1004,0
101_1005,5
101_1006,0
101_1007,3
101_1008,0
101_1009,3
101_101,3
101_1010,3
101_1013,3
101_1014,1
101_1015,1
101_1016,4
101_1017,1
101_1018,4
101_1019,5
101_102,5
101_1020,4
101_1021,4
101_1022,1
101_1023,5
101_1024,5
101_1025,3
101_1026,1
101_1027,0
101_1028,0
101_1029,1
101_103,5
101_1030,5
101_1031,3
101_1032,4
101_1033,3
101_1034,4
101_1035,3
101_1036,4
101_1037,4
101_1038,2
101_1039,4
101_104,1
101_1040,1
101_1042,2
101_1043,3
101_1044,5
101_1045,0
101_1046,5
101_1047,1
101_1048,5
101_1049,1
101_105,3
101_1050,5
101_1051,5
101_1052,1
101_1054,3
101_1055,3
101_1056,2
101_1057,4
101_1058,1
101_1059,0
101_106,1
101_1060,0
101_1061,2
101_1063,1
101_1064,1
101_1065,3
101_1066,2
101_1067,3
101_1068,1
101_1069,4
101_107,1
101_1070,3
101_1071,5
101_1073,4
101_1074,3
101_1075,4
101_1076,3
101_1077,5
101_1078,0
101_1079,4
101_108,1
101_1081,1
101_1082,1
101_1083,4
101_1084,0
101_1085,4
101_1086,0
101_1087,3
101_1088,1
101_1089,4
101_109,4
101_1090,4
101_1091,4
101_1092,5
101_1093,1
101_1094,1
101_1095,3
101_1097,2
101_1099,5
101_11,5
101_110,2
101_1100,2
101_1101,0
101_1102,5
101_1103,3
101_1104,0
101_1105,2
101_1106,2
101_1107,2
101_1108,1
101_1109,3
101_111,1
101_1110,0
101_1111,4
101_1112,4
101_1113,1
101_1114,2
101_1115,4
101_1116,5
101_1117,2
101_1118,1
101_1119,1
101_112,3
101_1120,3
101_1121,4
101_1122,3
101_1123,0
101_1124,1
101_1125,3
101_1126,5
101_1127,2
101_1128,2
101_1129,4
101_113,5
101_1130,2
101_1131,1
101_1132,5
101_1133,0
101_1134,2
101_1135,3
101_1136,1
101_1137,4
101_1138,1
101_1139,3
101_114,2
101_1140,2
101_1141,1
101_1142,0
101_1143,3
101_1144,5
101_1145,3
101_1146,0
101_1147,5
101_1148,2
101_1149,1
101_115,4
101_1150,2
101_1151,3
101_1152,2
101_1153,1
101_1154,0
101_1155,2
101_1156,0
101_1158,1
101_1159,1
101_116,0
101_1160,1
101_1161,2
101_1162,2
101_1163,4
101_1164,2
101_1165,2
101_1166,4
101_1167,5
101_1168,0
101_1169,4
101_117,4
101_1170,2
101_1172,2
101_1173,4
101_1174,5
101_1176,2
101_1177,2
101_1179,3
101_118,4
101_1180,2
101_1181,2
101_1182,3
101_1183,5
101_1184,5
101_1185,1
101_1186,0
101_1187,3
101_1188,4
101_1189,4
101_119,3
101_1190,5
101_1191,0
101_1192,4
101_1193,4
101_1194,2
101_1195,4
101_1196,2
101_1197,2
101_1198,4
101_1199,3
101_12,4
101_120,3
101_1200,3
101_1201,1
101_1202,1
101_1204,4
101_1206,3
101_1207,0
101_121,2
101_122,3
101_123,3
101_124,5
101_125,5
101_126,3
101_127,2
101_128,5
101_129,4
101_13,1
101_130,5
101_131,3
101_132,2
101_133,2
101_134,0
101_135,2
101_136,3
101_137,3
101_138,5
101_139,5
101_14,2
101_140,2
101_141,4
101_142,0
101_143,2
101_144,4
101_145,4
101_146,3
101_147,3
101_148,0
101_149,3
101_15,0
101_150,3
101_151,0
101_152,0
101_153,3
101_154,3
101_155,4
101_156,0
101_157,5
101_158,2
101_159,3
101_16,2
101_160,4
101_161,4
101_162,4
101_163,2
101_164,5
101_165,1
101_166,4
101_167,2
101_168,2
101_169,3
101_17,3
101_170,2
101_171,0
101_172,0
101_173,2
101_174,3
101_175,2
101_176,2
101_177,0
101_178,2
101_179,3
101_18,1
101_180,5
101_181,1
101_182,0
101_183,5
101_184,2
101_185,0
101_186,4
101_187,0
101_188,1
101_189,2
101_19,4
101_191,0
101_192,3
101_193,3
101_194,4
101_195,0
101_196,0
101_197,4
101_198,2
101_199,1
101_2,0
101_20,1
101_200,3
101_201,2
101_202,3
101_203,0
101_204,3
101_205,2
101_206,2
101_207,2
101_208,2
101_209,3
101_21,2
101_210,2
101_211,2
101_212,2
101_213,2
101_214,1
101_215,4
101_216,2
101_217,2
101_218,4
101_219,2
101_22,1
101_220,1
101_221,4
101_222,4
101_223,0
101_224,1
101_225,2
101_226,2
101_227,2
101_228,0
101_229,1
101_23,5
101_230,3
101_231,5
101_232,5
101_233,4
101_234,2
101_235,1
101_236,0
101_237,0
101_238,1
101_239,1
101_24,5
101_240,4
101_241,1
101_242,0
101_243,2
101_244,1
101_245,3
101_246,3
101_247,0
101_248,0
101_249,2
101_25,1
101_250,3
101_251,3
101_252,3
101_253,4
101_254,0
101_255,2
101_256,3
101_257,3
101_258,5
101_259,3
101_26,3
101_260,5
101_261,3
101_262,3
101_263,3
101_264,4
101_265,2
101_266,2
101_267,0
101_268,5
101_269,1
101_27,5
101_270,1
101_271,0
101_272,0
101_273,4
101_274,1
101_275,1
101_276,1
101_277,0
101_278,4
101_279,1
101_28,3
101_280,5
101_281,3
101_282,3
101_283,1
101_284,1
101_285,5
101_286,2
101_287,4
101_288,2
101_289,0
101_29,3
101_290,4
101_291,4
101_292,1
101_293,3
101_294,3
101_295,0
101_296,3
101_297,1
101_298,3
101_299,2
101_3,0
101_30,3
101_300,4
101_301,0
101_302,1
101_303,2
101_304,0
101_305,2
101_306,1
101_307,1
101_308,2
101_309,2
101_31,5
101_310,2
101_311,4
101_312,3
101_313,1
101_314,2
101_315,0
101_316,5
101_317,5
101_318,5
101_319,3
101_32,3
101_320,2
101_321,5
101_322,5
101_323,3
101_324,1
101_325,2
101_326,4
101_327,0
