location,cluster
101_1,0
101_10,5
101_100,4
101_1000,5
101_1001,1
101_1002,4
101_1003,4
101_1004,5
101_1005,4
101_1006,4
101_1007,4
101_1008,5
101_1009,4
101_101,5
101_1010,4
101_1013,4
101_1014,2
101_1015,2
101_1016,2
101_1017,1
101_1018,1
101_1019,1
101_102,4
101_1020,2
101_1021,1
101_1022,2
101_1023,1
101_1024,5
101_1025,1
101_1026,4
101_1027,3
101_1028,3
101_1029,1
101_103,1
101_1030,4
101_1031,4
101_1032,2
101_1033,5
101_1034,4
101_1035,3
101_1036,4
101_1037,3
101_1038,5
101_1039,1
101_104,1
101_1040,1
101_1042,5
101_1043,4
101_1044,1
101_1045,5
101_1046,4
101_1047,2
101_1048,4
101_1049,1
101_105,4
101_1050,3
101_1051,0
101_1052,3
101_1054,5
101_1055,5
101_1056,2
101_1057,3
101_1058,1
101_1059,0
101_106,3
101_1060,5
101_1061,5
101_1063,4
101_1064,0
101_1065,0
101_1066,5
101_1067,5
101_1068,1
101_1069,1
101_107,3
101_1070,5
101_1071,1
101_1073,2
101_1074,5
101_1075,1
101_1076,4
101_1077,5
101_1078,4
101_1079,1
101_108,1
101_1081,2
101_1082,5
101_1083,1
101_1084,3
101_1085,1
101_1086,0
101_1087,4
101_1088,2
101_1089,0
101_109,3
101_1090,1
101_1091,4
101_1092,4
101_1093,0
101_1094,3
101_1095,5
101_1097,5
101_1099,4
101_11,3
101_110,3
101_1100,3
101_1101,3
101_1102,5
101_1103,1
101_1104,0
101_1105,3
101_1106,1
101_1107,5
101_1108,0
101_1109,5
101_111,3
101_1110,5
101_1111,1
101_1112,1
101_1113,1
101_1114,3
101_1115,1
101_1116,4
101_1117,3
101_1118,1
101_1119,3
101_112,5
101_1120,4
101_1121,2
101_1122,4
101_1123,5
101_1124,4
101_1125,5
101_1126,4
101_1127,0
101_1128,3
101_1129,2
101_113,5
101_1130,3
101_1131,2
101_1132,5
101_1133,3
101_1134,4
101_1135,4
101_1136,3
101_1137,4
101_1138,2
101_1139,5
101_114,3
101_1140,0
101_1141,2
101_1142,5
101_1143,4
101_1144,0
101_1145,4
101_1146,4
101_1147,4
101_1148,5
101_1149,4
101_115,5
101_1150,2
101_1151,5
101_1152,4
101_1153,4
101_1154,5
101_1155,0
101_1156,5
101_1158,1
101_1159,2
101_116,4
101_1160,5
101_1161,0
101_1162,3
101_1163,5
101_1164,4
101_1165,1
101_1166,0
101_1167,4
101_1168,5
101_1169,5
101_117,2
101_1170,3
101_1172,3
101_1173,1
101_1174,4
101_1176,3
101_1177,4
101_1179,2
101_118,4
101_1180,3
101_1181,5
101_1182,4
101_1183,4
101_1184,4
101_1185,3
101_1186,5
101_1187,5
101_1188,1
101_1189,1
101_119,5
101_1190,1
101_1191,5
101_1192,1
101_1193,1
101_1194,4
101_1195,4
101_1196,2
101_1197,5
101_1198,4
101_1199,5
101_12,0
101_120,3
101_1200,5
101_1201,4
101_1202,1
101_1204,4
101_1206,2
101_1207,5
101_121,3
101_122,5
101_123,4
101_124,5
101_125,4
101_126,4
101_127,0
101_128,1
101_129,3
101_13,1
101_130,4
101_131,4
101_132,3
101_133,2
101_134,5
101_135,4
101_136,0
101_137,4
101_138,4
101_139,4
101_14,1
101_140,5
101_141,4
101_142,0
101_143,3
101_144,1
101_145,5
101_146,3
101_147,5
101_148,5
101_149,5
101_15,2
101_150,5
101_151,5
101_152,0
101_153,5
101_154,5
101_155,0
101_156,3
101_157,5
101_158,2
101_159,5
101_16,3
101_160,1
101_161,1
101_162,1
101_163,3
101_164,4
101_165,1
101_166,2
101_167,0
101_168,5
101_169,5
101_17,4
101_170,3
101_171,3
101_172,3
101_173,3
101_174,5
101_175,5
101_176,5
101_177,5
101_178,3
101_179,5
101_18,2
101_180,1
101_181,0
101_182,5
101_183,0
101_184,3
101_185,5
101_186,4
101_187,5
101_188,2
101_189,0
101_19,4
101_191,0
101_192,5
101_193,0
101_194,1
101_195,4
101_196,3
101_197,1
101_198,2
101_199,2
101_2,0
101_20,1
101_200,5
101_201,3
101_202,4
101_203,4
101_204,4
101_205,1
101_206,5
101_207,3
101_208,5
101_209,4
101_21,3
101_210,0
101_211,3
101_212,1
101_213,2
101_214,1
101_215,1
101_216,0
101_217,0
101_218,3
101_219,3
101_22,1
101_220,0
101_221,1
101_222,1
101_223,1
101_224,2
101_225,5
101_226,3
101_227,3
101_228,4
101_229,2
101_23,4
101_230,5
101_231,1
101_232,1
101_233,4
101_234,1
101_235,1
101_236,1
101_237,5
101_238,4
101_239,3
101_24,4
101_240,1
101_241,3
101_242,0
101_243,3
101_244,3
101_245,5
101_246,5
101_247,5
101_248,4
101_249,5
101_25,0
101_250,5
101_251,5
101_252,5
101_253,0
101_254,0
101_255,4
101_256,5
101_257,4
101_258,4
101_259,5
101_26,2
101_260,4
101_261,4
101_262,5
101_263,5
101_264,2
101_265,2
101_266,1
101_267,2
101_268,1
101_269,2
101_27,4
101_270,1
101_271,5
101_272,5
101_273,4
101_274,3
101_275,0
101_276,4
101_277,3
101_278,1
101_279,2
101_28,4
101_280,0
101_281,5
101_282,5
101_283,1
101_284,4
101_285,4
101_286,2
101_287,4
101_288,5
101_289,0
101_29,5
101_290,3
101_291,5
101_292,2
101_293,5
101_294,5
101_295,5
101_296,4
101_297,4
101_298,5
101_299,5
101_3,5
101_30,5
101_300,4
101_301,5
101_302,4
101_303,0
101_304,0
101_305,5
101_306,2
101_307,0
101_308,2
101_309,3
101_31,1
101_310,0
101_311,5
101_312,5
101_313,1
101_314,3
101_315,0
101_316,4
101_317,0
101_318,4
101_319,5
101_32,5
101_320,3
