location,cluster
101_1,1
101_10,0
101_100,2
101_1000,0
101_1001,4
101_1002,0
101_1003,0
101_1004,3
101_1005,0
101_1006,3
101_1007,2
101_1008,5
101_1009,5
101_101,5
101_1010,0
101_1013,2
101_1014,0
101_1015,4
101_1016,4
101_1017,2
101_1018,3
101_1019,4
101_102,2
101_1020,1
101_1021,5
101_1022,5
101_1023,4
101_1024,5
101_1025,4
101_1026,0
101_1027,2
101_1028,1
101_1029,0
101_103,3
101_1030,0
101_1031,3
101_1032,5
101_1033,3
101_1034,2
101_1035,3
101_1036,2
101_1037,1
101_1038,0
101_1039,5
101_104,3
101_1040,3
101_1042,0
101_1043,4
101_1044,4
101_1045,0
101_1046,5
101_1047,4
101_1048,5
101_1049,2
101_105,3
101_1050,1
101_1051,4
101_1052,2
101_1054,3
101_1055,5
101_1056,4
101_1057,2
101_1058,5
101_1059,1
101_106,2
101_1060,2
101_1061,2
101_1063,2
101_1064,2
101_1065,3
101_1066,5
101_1067,2
101_1068,3
101_1069,3
101_107,2
101_1070,2
101_1071,3
101_1073,4
101_1074,3
101_1075,0
101_1076,4
101_1077,1
101_1078,3
101_1079,2
101_108,5
101_1081,3
101_1082,2
101_1083,3
101_1084,4
101_1085,0
101_1086,4
101_1087,0
101_1088,3
101_1089,5
101_109,1
101_1090,0
101_1091,2
101_1092,5
101_1093,2
101_1094,2
101_1095,1
101_1097,5
101_1099,0
101_11,5
101_110,0
101_1100,4
101_1101,4
101_1102,2
101_1103,3
101_1104,0
101_1105,0
101_1106,3
101_1107,0
101_1108,2
101_1109,2
101_111,2
101_1110,5
101_1111,2
101_1112,4
101_1113,0
101_1114,5
101_1115,3
101_1116,2
101_1117,5
101_1118,3
101_1119,2
101_112,0
101_1120,4
101_1121,4
101_1122,2
101_1123,2
101_1124,2
101_1125,2
101_1126,0
101_1127,3
101_1128,2
101_1129,4
101_113,2
101_1130,4
101_1131,2
101_1132,2
101_1133,3
101_1134,2
101_1135,3
101_1136,2
101_1137,2
101_1138,0
101_1139,3
101_114,5
101_1140,3
101_1141,2
101_1142,5
101_1143,3
101_1144,5
101_1145,3
101_1146,3
101_1147,5
101_1148,2
101_1149,2
101_115,2
101_1150,4
101_1151,5
101_1152,0
101_1153,0
101_1154,0
101_1155,0
101_1156,0
101_1158,3
101_1159,5
101_116,3
101_1160,0
101_1161,3
101_1162,2
101_1163,2
101_1164,0
101_1165,3
101_1166,1
101_1167,0
101_1168,5
101_1169,2
101_117,1
101_1170,5
101_1172,0
101_1173,3
101_1174,1
101_1176,2
101_1177,0
101_1179,4
101_118,2
101_1180,5
101_1181,2
101_1182,0
101_1183,2
101_1184,2
101_1185,2
101_1186,2
101_1187,2
101_1188,4
101_1189,5
101_119,5
101_1190,3
101_1191,1
101_1192,3
101_1193,0
101_1194,3
101_1195,0
101_1196,4
101_1197,2
101_1198,2
101_1199,2
101_12,2
101_120,4
101_1200,2
101_1201,2
101_1202,3
101_1204,2
101_1206,4
101_1207,5
101_121,5
101_122,2
101_123,5
101_124,2
101_125,2
101_126,3
101_127,5
101_128,3
101_129,5
101_13,3
101_130,0
101_131,0
101_132,3
101_133,4
101_134,2
101_135,0
101_136,1
101_137,4
101_138,0
101_139,3
101_14,3
101_140,0
101_141,2
101_142,5
101_143,5
101_144,4
101_145,2
101_146,1
101_147,2
101_148,5
101_149,2
101_15,4
101_150,5
101_151,0
101_152,5
101_153,2
101_154,1
101_155,1
101_156,1
101_157,2
101_158,3
101_159,2
101_16,2
101_160,5
101_161,0
101_162,5
101_163,0
101_164,0
101_165,0
101_166,1
101_167,5
101_168,0
101_169,5
101_17,0
101_170,5
101_171,1
101_172,1
101_173,0
101_174,0
101_175,2
101_176,2
101_177,3
101_178,1
101_179,2
101_18,0
101_180,3
101_181,5
101_182,3
101_183,2
101_184,2
101_185,5
101_186,0
101_187,2
101_188,1
101_189,2
101_19,2
101_191,5
101_192,2
101_193,1
101_194,1
101_195,2
101_196,2
101_197,3
101_198,3
101_199,4
101_2,3
101_20,5
101_200,0
101_201,5
101_202,4
101_203,3
101_204,1
101_205,0
101_206,2
101_207,4
101_208,0
101_209,0
101_21,5
101_210,0
101_211,2
101_212,3
101_213,4
101_214,0
101_215,0
101_216,3
101_217,3
101_218,5
101_219,1
101_22,0
101_220,2
101_221,4
101_222,3
101_223,4
101_224,4
101_225,3
101_226,5
101_227,5
101_228,0
101_229,4
101_23,1
101_230,5
101_231,1
101_232,1
101_233,2
101_234,4
101_235,0
101_236,1
101_237,2
101_238,0
101_239,2
101_24,0
101_240,2
101_241,2
101_242,1
101_243,1
101_244,2
101_245,4
101_246,2
101_247,5
101_248,0
101_249,2
101_25,2
101_250,5
101_251,0
101_252,4
101_253,2
101_254,3
101_255,5
101_256,1
101_257,3
101_258,0
101_259,4
101_26,4
101_260,5
101_261,4
101_262,2
101_263,2
101_264,4
101_265,3
101_266,3
101_267,4
101_268,4
101_269,1
101_27,0
101_270,3
101_271,3
101_272,0
101_273,2
101_274,2
101_275,2
101_276,0
101_277,4
101_278,5
101_279,2
101_28,0
101_280,4
101_281,2
101_282,3
101_283,3
101_284,2
101_285,0
101_286,3
101_287,2
101_288,2
101_289,3
101_29,2
101_290,1
101_291,2
101_292,2
101_293,2
101_294,2
101_295,2
101_296,0
101_297,0
101_298,5
101_299,2
101_3,5
101_30,5
101_300,2
101_301,2
101_302,2
101_303,2
101_304,4
101_305,5
101_306,5
101_307,0
101_308,4
101_309,5
101_31,4
101_310,2
101_311,5
101_312,2
101_313,0
101_314,2
101_315,3
101_316,0
101_317,1
101_318,5
101_319,4
101_32,3
101_320,5
101_321,2
101_322,3
101_323,5
101_324,0
101_325,5
101_326,2
101_327,3
101_328,2
101_329,5
101_33,3
101_330,0
101_331,0
101_332,3
101_333,3
101_334,5
101_335,1
101_336,4
101_337,4
101_338,0
101_339,5
101_34,2
101_340,4
101_341,1
101_342,4
101_343,3
101_344,1
101_345,5
101_346,4
101_347,4
101_348,2
101_349,1
101_35,5
101_350,2
101_351,5
101_352,4
101_353,2
101_354,3
101_355,2
101_356,3
101_357,0
101_358,3
101_359,1
101_36,0
101_360,5
101_361,5
101_362,2
101_363,0
101_364,5
101_365,2
101_366,2
101_367,0
101_368,2
101_369,0
101_37,3
101_370,3
101_371,0
101_372,5
101_373,0
101_374,3
101_375,2
101_376,4
101_377,2
101_378,3
101_379,0
101_38,2
101_380,2
101_381,3
101_382,3
101_383,5
101_384,2
101_385,3
101_386,3
101_387,5
101_388,3
101_389,0
101_39,0
101_390,0
101_391,1
101_392,0
101_393,0
101_394,3
101_395,1
101_396,3
101_397,3
101_398,3
101_399,0
101_4,0
101_40,0
101_400,0
101_401,0
101_402,1
101_403,2
101_404,3
101_405,5
101_406,0
101_407,1
101_408,4
101_409,1
101_41,0
101_410,3
101_411,1
101_412,1
101_413,4
101_414,2
101_415,5
101_416,1
101_417,3
101_418,5
101_419,5
101_42,2
101_420,1
101_421,0
101_422,0
101_423,1
101_424,4
101_425,3
101_426,5
101_427,1
101_428,0
101_429,0
101_43,3
101_430,3
101_431,3
101_432,0
101_433,2
101_434,5
101_435,1
101_436,2
101_437,0
101_438,2
101_439,2
101_44,5
101_440,4
101_441,1
101_442,0
101_443,3
101_444,1
101_445,2
101_446,3
101_447,0
101_448,1
101_449,4
101_45,0
101_450,2
101_451,0
101_452,2
101_453,0
101_454,2
101_455,4
101_456,1
101_457,2
101_458,3
101_459,3
101_46,5
101_460,5
101_461,1
101_462,5
101_463,0
101_464,5
101_465,2
101_466,5
101_467,0
101_468,4
101_469,2
101_47,5
101_470,5
101_471,5
101_472,3
101_473,4
101_474,5
101_475,2
101_476,3
101_477,0
101_478,4
101_479,4
101_48,2
101_480,4
101_481,3
101_482,4
101_483,3
101_484,2
101_485,3
101_486,3
101_487,5
101_488,2
101_489,3
101_49,3
101_490,0
101_492,5
101_493,3
101_494,1
101_495,3
101_496,0
101_497,0
101_498,5
101_499,0
101_5,5
101_50,2
101_500,5
101_501,3
101_502,4
101_503,3
101_504,4
101_505,3
101_506,4
101_507,0
101_508,3
101_509,0
101_51,0
101_510,3
101_511,4
101_512,4
101_513,3
101_514,4
101_515,3
101_516,0
101_517,2
101_518,2
101_519,0
101_52,1
101_520,3
101_521,2
101_522,5
101_523,3
101_524,3
101_525,3
101_526,5
101_527,2
101_528,5
101_53,2
101_530,1
101_531,1
101_532,4
101_533,5
101_534,1
101_535,4
101_536,3
101_537,2
101_538,2
101_539,1
101_54,3
101_540,0
