location,cluster
101_1,4
101_10,3
101_100,0
101_1000,2
101_1001,3
101_1002,1
101_1003,5
101_1004,3
101_1005,4
101_1006,3
101_1007,4
101_1008,4
101_1009,3
101_101,4
101_1010,4
101_1013,3
101_1014,3
101_1015,0
101_1016,5
101_1017,4
101_1018,5
101_1019,4
101_102,5
101_1020,4
101_1021,3
101_1022,4
101_1023,1
101_1024,1
101_1025,3
101_1026,4
101_1027,3
101_1028,1
101_1029,4
101_103,5
101_1030,4
101_1031,4
101_1032,3
101_1033,0
101_1034,4
101_1035,4
101_1036,3
101_1037,1
101_1038,3
101_1039,0
101_104,0
101_1040,5
101_1042,4
101_1043,3
101_1044,0
101_1045,4
101_1046,4
101_1047,0
101_1048,4
101_1049,5
101_105,4
101_1050,2
101_1051,4
101_1052,2
101_1054,5
101_1055,4
101_1056,2
101_1057,3
101_1058,4
101_1059,0
101_106,2
101_1060,4
101_1061,4
101_1063,4
101_1064,2
101_1065,4
101_1066,4
101_1067,4
101_1068,3
101_1069,5
101_107,1
101_1070,4
101_1071,3
101_1073,1
101_1074,4
101_1075,4
101_1076,4
101_1077,4
101_1078,2
101_1079,3
101_108,0
101_1081,5
101_1082,1
101_1083,4
101_1084,4
101_1085,4
101_1086,2
101_1087,2
101_1088,0
101_1089,5
101_109,3
101_1090,5
101_1091,4
101_1092,4
101_1093,2
101_1094,2
101_1095,4
101_1097,4
101_1099,4
101_11,3
101_110,3
101_1100,3
101_1101,3
101_1102,3
101_1103,5
101_1104,4
101_1105,2
101_1106,3
101_1107,4
101_1108,3
101_1109,4
101_111,3
101_1110,1
101_1111,3
101_1112,1
101_1113,5
101_1114,4
101_1115,5
101_1116,4
101_1117,2
101_1118,5
101_1119,2
101_112,4
101_1120,1
101_1121,4
101_1122,3
101_1123,3
101_1124,3
101_1125,4
101_1126,4
101_1127,3
101_1128,4
101_1129,1
101_113,4
101_1130,2
101_1131,1
101_1132,4
101_1133,0
101_1134,3
101_1135,5
101_1136,1
101_1137,4
101_1138,2
101_1139,4
101_114,4
101_1140,1
101_1141,0
101_1142,3
101_1143,3
101_1144,5
101_1145,1
101_1146,5
101_1147,3
101_1148,2
101_1149,3
101_115,3
101_1150,0
101_1151,4
101_1152,4
101_1153,4
101_1154,0
101_1155,4
101_1156,3
101_1158,4
101_1159,0
101_116,5
101_1160,4
101_1161,4
101_1162,4
101_1163,4
101_1164,4
101_1165,4
101_1166,3
101_1167,4
101_1168,2
101_1169,3
101_117,2
101_1170,2
101_1172,2
101_1173,3
101_1174,4
101_1176,4
101_1177,5
101_1179,3
101_118,4
101_1180,3
101_1181,2
101_1182,4
101_1183,3
101_1184,4
101_1185,3
101_1186,4
101_1187,4
101_1188,4
101_1189,3
101_119,4
101_1190,4
101_1191,1
101_1192,4
101_1193,3
101_1194,1
101_1195,4
