location,cluster
101_1,5
101_10,4
101_100,1
101_1000,3
101_1001,1
101_1002,4
101_1003,4
101_1004,1
101_1005,1
101_1006,2
101_1007,2
101_1008,1
101_1009,1
101_101,1
101_1010,3
101_1013,3
101_1014,4
101_1015,0
101_1016,4
101_1017,2
101_1018,1
101_1019,1
101_102,3
101_1020,3
101_1021,4
101_1022,0
101_1023,4
101_1024,4
101_1025,0
101_1026,2
101_1027,4
101_1028,3
101_1029,1
101_103,4
101_1030,4
101_1031,0
101_1032,3
101_1033,4
101_1034,4
101_1035,3
101_1036,2
101_1037,1
101_1038,1
101_1039,1
101_104,4
101_1040,3
101_1042,1
101_1043,3
101_1044,1
101_1045,3
101_1046,3
101_1047,3
101_1048,1
101_1049,2
101_105,2
101_1050,4
101_1051,1
101_1052,1
101_1054,1
101_1055,3
101_1056,1
101_1057,3
101_1058,1
101_1059,4
101_106,3
101_1060,1
101_1061,2
101_1063,2
101_1064,1
101_1065,3
101_1066,3
101_1067,3
101_1068,4
101_1069,3
101_107,3
101_1070,3
101_1071,4
101_1073,1
101_1074,1
101_1075,1
101_1076,1
101_1077,1
101_1078,3
101_1079,0
101_108,0
101_1081,1
101_1082,2
101_1083,4
101_1084,0
101_1085,1
101_1086,3
101_1087,3
101_1088,4
101_1089,4
101_109,1
101_1090,4
101_1091,0
101_1092,1
101_1093,1
101_1094,4
101_1095,1
101_1097,1
101_1099,0
101_11,3
101_110,0
101_1100,4
101_1101,3
101_1102,3
101_1103,0
101_1104,1
101_1105,4
101_1106,2
101_1107,3
101_1108,0
101_1109,2
101_111,4
101_1110,4
101_1111,5
101_1112,2
101_1113,3
101_1114,3
101_1115,3
101_1116,1
101_1117,2
101_1118,0
101_1119,2
101_112,4
101_1120,3
101_1121,1
101_1122,3
101_1123,1
101_1124,2
101_1125,2
101_1126,3
101_1127,2
101_1128,2
101_1129,2
101_113,0
101_1130,3
101_1131,2
101_1132,2
101_1133,1
101_1134,1
101_1135,3
101_1136,2
101_1137,3
101_1138,3
101_1139,1
101_114,3
101_1140,2
101_1141,4
101_1142,1
101_1143,1
101_1144,3
101_1145,4
101_1146,3
101_1147,0
101_1148,2
101_1149,3
101_115,3
101_1150,1
101_1151,1
101_1152,0
101_1153,1
101_1154,2
101_1155,2
101_1156,3
101_1158,4
101_1159,3
101_116,0
101_1160,0
101_1161,2
101_1162,1
101_1163,1
101_1164,2
101_1165,2
101_1166,4
101_1167,1
101_1168,1
101_1169,1
101_117,5
101_1170,3
101_1172,2
101_1173,1
101_1174,0
101_1176,2
101_1177,1
101_1179,1
101_118,4
101_1180,1
101_1181,3
101_1182,0
101_1183,4
101_1184,1
101_1185,4
101_1186,2
101_1187,2
101_1188,2
101_1189,3
101_119,1
101_1190,3
101_1191,1
101_1192,3
101_1193,2
101_1194,1
101_1195,4
101_1196,1
101_1197,3
101_1198,0
101_1199,1
101_12,3
101_120,1
101_1200,1
101_1201,0
101_1202,0
101_1204,2
101_1206,3
101_1207,3
101_121,1
101_122,1
101_123,1
101_124,1
101_125,1
101_126,1
101_127,1
101_128,1
101_129,3
101_13,1
101_130,1
101_131,0
101_132,0
101_133,1
101_134,4
101_135,3
101_136,0
101_137,2
101_138,4
101_139,0
101_14,2
101_140,4
101_141,1
101_142,3
101_143,1
101_144,1
101_145,1
101_146,1
101_147,1
101_148,1
101_149,1
101_15,4
101_150,1
101_151,3
101_152,5
101_153,1
101_154,1
101_155,1
101_156,1
101_157,1
101_158,1
101_159,0
101_16,1
101_160,1
101_161,1
101_162,1
101_163,1
101_164,1
101_165,0
101_166,1
101_167,1
101_168,1
101_169,1
101_17,2
101_170,1
101_171,1
101_172,1
101_173,1
101_174,1
101_175,3
101_176,1
101_177,1
101_178,1
101_179,1
101_18,2
101_180,1
101_181,1
101_182,1
101_183,5
101_184,1
101_185,1
101_186,0
101_187,0
101_188,2
101_189,4
101_19,4
101_191,0
101_192,4
101_193,0
101_194,3
101_195,2
101_196,4
101_197,1
101_198,4
101_199,4
101_2,0
101_20,3
101_200,4
101_201,4
101_202,1
101_203,4
101_204,0
101_205,3
101_206,0
101_207,1
101_208,4
101_209,1
101_21,2
101_210,2
101_211,2
101_212,4
101_213,0
101_214,2
101_215,1
101_216,1
101_217,3
101_218,1
101_219,0
101_22,4
101_220,2
101_221,2
101_222,3
101_223,3
101_224,2
101_225,3
101_226,2
101_227,1
101_228,1
101_229,2
101_23,0
101_230,2
101_231,2
101_232,2
101_233,2
101_234,2
101_235,3
101_236,1
101_237,1
101_238,4
101_239,1
101_24,0
101_240,4
101_241,3
101_242,0
101_243,3
101_244,3
101_245,1
101_246,1
101_247,1
101_248,1
101_249,0
101_25,4
101_250,1
101_251,1
101_252,1
101_253,0
101_254,2
101_255,5
101_256,3
101_257,0
101_258,5
101_259,1
101_26,0
101_260,1
101_261,1
101_262,5
101_263,5
101_264,1
101_265,3
101_266,3
101_267,2
101_268,0
101_269,4
101_27,4
101_270,1
101_271,0
101_272,4
101_273,2
101_274,4
101_275,2
101_276,2
101_277,3
101_278,3
101_279,1
101_28,2
101_280,1
101_281,1
101_282,1
101_283,3
101_284,1
101_285,1
101_286,0
101_287,0
101_288,0
101_289,5
101_29,1
101_290,0
101_291,2
101_292,5
101_293,5
101_294,4
101_295,0
101_296,5
101_297,3
101_298,4
101_299,1
101_3,5
101_30,1
101_300,0
101_301,4
101_302,4
101_303,0
101_304,0
101_305,3
101_306,1
101_307,4
101_308,3
101_309,1
101_31,0
101_310,2
101_311,1
101_312,0
101_313,2
101_314,1
101_315,1
101_316,3
101_317,3
101_318,4
101_319,3
101_32,1
101_320,3
101_321,3
101_322,1
101_323,1
101_324,2
101_325,3
101_326,3
101_327,1
101_328,3
101_329,1
101_33,2
101_330,1
101_331,1
101_332,1
101_333,4
101_334,2
101_335,1
101_336,3
101_337,1
101_338,1
101_339,0
101_34,1
101_340,1
101_341,0
101_342,1
101_343,1
101_344,2
101_345,1
101_346,3
101_347,1
101_348,2
101_349,3
101_35,3
101_350,2
