location,cluster
101_1,0
101_10,4
101_100,4
101_1000,4
101_1001,5
101_1002,4
101_1003,5
101_1004,4
101_1005,4
101_1006,4
101_1007,4
101_1008,0
101_1009,4
101_101,4
101_1010,4
101_1013,0
101_1014,2
101_1015,0
101_1016,1
101_1017,5
101_1018,5
101_1019,0
101_102,0
101_1020,2
101_1021,4
101_1022,2
101_1023,0
101_1024,0
101_1025,4
101_1026,5
101_1027,4
101_1028,0
101_1029,4
101_103,2
101_1030,4
101_1031,4
101_1032,0
101_1033,2
101_1034,0
101_1035,4
101_1036,4
101_1037,4
101_1038,0
101_1039,2
101_104,2
101_1040,4
101_1042,4
101_1043,4
101_1044,2
101_1045,2
101_1046,0
101_1047,4
101_1048,5
101_1049,0
101_105,2
101_1050,4
101_1051,4
101_1052,4
101_1054,2
101_1055,4
101_1056,2
101_1057,0
101_1058,2
101_1059,0
101_106,4
101_1060,2
101_1061,1
101_1063,5
101_1064,5
101_1065,0
101_1066,0
101_1067,4
101_1068,3
101_1069,5
101_107,4
101_1070,0
101_1071,0
101_1073,5
101_1074,4
101_1075,0
101_1076,4
101_1077,0
101_1078,0
101_1079,5
101_108,2
101_1081,2
101_1082,2
101_1083,4
101_1084,4
101_1085,4
101_1086,0
101_1087,4
101_1088,5
101_1089,0
101_109,4
101_1090,5
101_1091,4
101_1092,0
101_1093,5
101_1094,4
101_1095,4
101_1097,0
101_1099,4
101_11,4
101_110,2
101_1100,2
101_1101,4
101_1102,0
101_1103,0
101_1104,2
101_1105,0
101_1106,4
101_1107,0
101_1108,0
101_1109,4
101_111,4
101_1110,4
101_1111,3
101_1112,0
101_1113,0
101_1114,2
101_1115,2
101_1116,4
101_1117,2
101_1118,2
101_1119,0
101_112,4
101_1120,4
101_1121,1
101_1122,4
101_1123,4
101_1124,4
101_1125,0
101_1126,0
101_1127,5
101_1128,2
101_1129,4
101_113,2
101_1130,0
101_1131,5
101_1132,2
101_1133,2
101_1134,0
101_1135,4
101_1136,0
101_1137,4
101_1138,5
101_1139,4
101_114,4
101_1140,2
101_1141,2
101_1142,2
101_1143,4
101_1144,4
101_1145,0
101_1146,0
101_1147,4
101_1148,4
101_1149,5
101_115,4
101_1150,5
101_1151,4
101_1152,4
101_1153,2
101_1154,4
101_1155,2
101_1156,4
101_1158,0
101_1159,0
101_116,5
101_1160,4
101_1161,0
101_1162,2
101_1163,4
101_1164,0
101_1165,4
101_1166,0
101_1167,2
101_1168,4
101_1169,0
101_117,5
101_1170,4
101_1172,0
101_1173,2
101_1174,5
101_1176,2
101_1177,4
101_1179,5
101_118,4
101_1180,4
101_1181,4
101_1182,0
101_1183,4
101_1184,4
101_1185,4
101_1186,4
101_1187,4
101_1188,4
101_1189,0
101_119,4
101_1190,0
101_1191,2
101_1192,2
101_1193,2
101_1194,0
101_1195,5
101_1196,2
101_1197,4
101_1198,0
101_1199,4
101_12,4
101_120,0
101_1200,4
101_1201,4
101_1202,4
101_1204,5
101_1206,4
101_1207,0
101_121,1
101_122,4
101_123,4
101_124,0
101_125,0
101_126,4
101_127,2
101_128,4
101_129,2
101_13,3
101_130,0
101_131,5
101_132,4
101_133,2
101_134,4
101_135,0
101_136,0
101_137,5
101_138,0
101_139,5
101_14,4
101_140,0
101_141,0
101_142,4
101_143,4
101_144,0
101_145,4
101_146,4
101_147,4
101_148,4
101_149,4
101_15,4
101_150,4
101_151,2
101_152,5
101_153,4
101_154,4
101_155,2
101_156,4
101_157,4
101_158,2
101_159,4
101_16,0
101_160,2
101_161,4
101_162,4
101_163,4
101_164,0
101_165,0
101_166,2
101_167,2
101_168,0
101_169,2
101_17,0
101_170,2
101_171,2
101_172,4
101_173,4
101_174,4
101_175,2
101_176,2
101_177,2
101_178,2
101_179,2
101_18,0
101_180,4
101_181,0
101_182,4
101_183,2
101_184,0
101_185,2
101_186,5
101_187,0
101_188,5
101_189,4
101_19,4
101_191,0
101_192,4
101_193,2
101_194,2
101_195,5
101_196,2
101_197,5
101_198,2
101_199,4
101_2,4
101_20,3
101_200,4
101_201,4
101_202,0
101_203,4
101_204,4
101_205,4
101_206,4
101_207,4
101_208,0
101_209,4
101_21,4
101_210,4
101_211,0
101_212,4
101_213,4
101_214,0
101_215,4
101_216,2
101_217,4
101_218,4
101_219,2
101_22,0
101_220,4
101_221,5
101_222,5
101_223,0
101_224,5
101_225,4
101_226,2
101_227,2
101_228,4
101_229,3
101_23,4
101_230,0
101_231,2
101_232,5
101_233,4
101_234,5
101_235,5
101_236,3
101_237,2
101_238,5
101_239,4
101_24,4
101_240,0
101_241,4
101_242,4
101_243,0
101_244,4
101_245,4
101_246,4
101_247,4
101_248,4
101_249,4
101_25,0
101_250,4
101_251,2
101_252,4
101_253,0
101_254,0
101_255,5
101_256,0
101_257,0
101_258,4
101_259,2
101_26,4
101_260,2
101_261,2
101_262,4
101_263,4
101_264,5
