location,cluster
101_1,1
101_10,5
101_100,5
101_1000,5
101_1001,1
101_1002,4
101_1003,4
101_1004,5
101_1005,5
101_1006,5
101_1007,1
101_1008,2
101_1009,0
101_101,2
101_1010,5
101_1013,1
101_1014,5
101_1015,5
101_1016,5
101_1017,3
101_1018,4
101_1019,2
101_102,5
101_1020,5
101_1021,0
101_1022,2
101_1023,0
101_1024,5
101_1025,1
101_1026,5
101_1027,1
101_1028,5
101_1029,5
101_103,0
101_1030,5
101_1031,0
101_1032,5
101_1033,1
101_1034,0
101_1035,1
101_1036,1
101_1037,5
101_1038,5
101_1039,5
101_104,5
101_1040,5
101_1042,5
101_1043,5
101_1044,5
101_1045,5
101_1046,2
101_1047,3
101_1048,2
101_1049,1
101_105,1
101_1050,2
101_1051,5
101_1052,5
101_1054,5
101_1055,5
101_1056,5
101_1057,5
101_1058,5
101_1059,5
101_106,1
101_1060,2
101_1061,1
101_1063,0
101_1064,1
101_1065,5
101_1066,2
101_1067,5
101_1068,1
101_1069,5
101_107,5
101_1070,5
101_1071,0
101_1073,1
101_1074,2
101_1075,1
101_1076,2
101_1077,5
101_1078,0
101_1079,4
101_108,1
101_1081,2
101_1082,5
101_1083,1
101_1084,5
101_1085,5
101_1086,5
101_1087,1
101_1088,0
101_1089,5
101_109,5
101_1090,2
101_1091,5
101_1092,2
101_1093,2
101_1094,1
101_1095,5
101_1097,5
101_1099,5
101_11,5
101_110,1
101_1100,1
101_1101,1
101_1102,2
101_1103,0
101_1104,5
101_1105,5
101_1106,2
101_1107,5
101_1108,5
101_1109,2
101_111,0
101_1110,5
101_1111,0
101_1112,5
101_1113,1
101_1114,5
101_1115,0
101_1116,5
101_1117,5
101_1118,5
101_1119,3
101_112,5
101_1120,5
101_1121,5
101_1122,2
101_1123,5
101_1124,0
101_1125,5
101_1126,0
101_1127,1
101_1128,1
101_1129,5
101_113,2
101_1130,4
101_1131,1
101_1132,5
101_1133,5
101_1134,5
101_1135,1
101_1136,5
101_1137,5
101_1138,1
101_1139,5
101_114,2
101_1140,5
101_1141,5
101_1142,5
101_1143,2
101_1144,5
101_1145,5
101_1146,5
101_1147,2
101_1148,5
101_1149,5
101_115,5
101_1150,5
101_1151,2
101_1152,5
101_1153,5
101_1154,5
101_1155,1
101_1156,5
101_1158,5
101_1159,5
101_116,2
101_1160,5
101_1161,1
101_1162,5
101_1163,0
101_1164,1
101_1165,5
101_1166,5
101_1167,5
101_1168,5
101_1169,5
101_117,5
101_1170,5
101_1172,1
101_1173,1
101_1174,2
101_1176,5
101_1177,5
101_1179,5
101_118,2
101_1180,5
101_1181,5
101_1182,2
101_1183,5
101_1184,2
101_1185,5
101_1186,5
101_1187,5
101_1188,5
101_1189,0
101_119,2
101_1190,5
101_1191,5
101_1192,1
101_1193,1
101_1194,5
101_1195,1
101_1196,5
101_1197,1
101_1198,0
101_1199,1
101_12,0
101_120,2
101_1200,0
101_1201,5
101_1202,5
101_1204,0
101_1206,5
101_1207,1
101_121,1
101_122,2
101_123,5
101_124,5
101_125,5
101_126,5
101_127,5
101_128,1
101_129,0
101_13,0
101_130,5
101_131,5
101_132,5
101_133,5
101_134,2
101_135,5
101_136,1
101_137,2
101_138,1
101_139,2
101_14,1
101_140,1
101_141,2
101_142,2
101_143,2
101_144,0
101_145,2
101_146,2
101_147,2
101_148,2
101_149,2
101_15,0
101_150,5
101_151,0
101_152,2
101_153,2
101_154,5
101_155,5
101_156,5
101_157,2
101_158,5
101_159,2
101_16,5
101_160,5
101_161,2
101_162,2
101_163,2
101_164,2
101_165,1
101_166,2
101_167,5
101_168,2
101_169,5
101_17,5
101_170,5
101_171,5
101_172,5
101_173,1
101_174,2
101_175,5
101_176,5
101_177,5
101_178,2
101_179,5
101_18,3
101_180,5
101_181,1
101_182,2
101_183,5
101_184,2
101_185,2
101_186,0
101_187,1
101_188,3
101_189,1
101_19,2
101_191,0
101_192,2
101_193,1
101_194,1
101_195,3
101_196,5
101_197,0
101_198,1
101_199,5
101_2,1
101_20,0
101_200,3
101_201,5
101_202,1
101_203,5
101_204,0
101_205,5
101_206,5
101_207,5
101_208,5
101_209,5
101_21,2
101_210,5
101_211,5
101_212,5
101_213,5
101_214,0
101_215,5
101_216,5
101_217,1
101_218,5
101_219,5
101_22,5
101_220,5
101_221,0
101_222,5
101_223,0
101_224,1
101_225,5
101_226,3
101_227,5
101_228,2
101_229,1
101_23,2
101_230,5
101_231,1
101_232,0
101_233,5
101_234,1
101_235,5
101_236,4
101_237,5
101_238,0
101_239,5
101_24,5
101_240,5
101_241,5
101_242,1
101_243,5
101_244,5
101_245,5
101_246,5
101_247,5
101_248,5
101_249,5
101_25,0
101_250,5
101_251,5
101_252,5
101_253,5
101_254,2
101_255,2
101_256,5
101_257,5
101_258,2
101_259,5
101_26,5
101_260,5
101_261,5
101_262,5
101_263,1
101_264,0
101_265,0
101_266,2
101_267,0
101_268,3
101_269,2
101_27,1
101_270,5
101_271,0
101_272,5
101_273,5
101_274,2
101_275,2
101_276,0
101_277,5
101_278,4
101_279,5
101_28,5
101_280,1
101_281,5
101_282,5
101_283,1
101_284,5
101_285,5
101_286,0
101_287,1
101_288,5
101_289,3
101_29,5
101_290,5
101_291,5
101_292,1
101_293,5
101_294,5
101_295,5
101_296,1
101_297,5
101_298,0
101_299,5
101_3,5
101_30,2
101_300,1
101_301,0
101_302,1
101_303,1
101_304,5
101_305,5
101_306,5
101_307,0
101_308,5
101_309,5
101_31,2
101_310,5
101_311,5
101_312,2
101_313,5
101_314,5
101_315,2
101_316,5
101_317,1
101_318,5
101_319,3
101_32,5
101_320,5
101_321,0
101_322,5
101_323,2
101_324,1
101_325,5
101_326,5
101_327,5
101_328,5
101_329,5
101_33,0
101_330,5
101_331,5
101_332,5
101_333,3
101_334,3
101_335,5
101_336,2
101_337,5
101_338,5
101_339,5
101_34,0
101_340,5
101_341,0
101_342,5
101_343,5
101_344,1
101_345,5
101_346,5
101_347,5
101_348,1
101_349,1
101_35,0
101_350,5
101_351,1
101_352,5
101_353,1
101_354,0
101_355,1
101_356,1
101_357,0
101_358,5
101_359,5
101_36,2
101_360,1
101_361,2
101_362,1
101_363,1
101_364,5
101_365,5
101_366,1
101_367,0
101_368,1
101_369,4
101_37,0
101_370,1
101_371,2
101_372,5
101_373,5
101_374,5
101_375,0
101_376,5
101_377,0
101_378,1
101_379,0
101_38,5
101_380,2
101_381,5
101_382,5
101_383,5
101_384,5
101_385,5
101_386,2
101_387,5
101_388,1
101_389,5
101_39,5
101_390,5
101_391,5
101_392,1
101_393,0
101_394,5
101_395,2
101_396,2
101_397,1
101_398,5
101_399,5
101_4,4
101_40,5
101_400,0
101_401,1
101_402,1
101_403,0
101_404,5
101_405,5
101_406,5
101_407,3
101_408,4
101_409,2
101_41,5
101_410,1
101_411,4
101_412,5
101_413,1
101_414,1
101_415,5
101_416,2
101_417,1
101_418,2
101_419,1
101_42,5
101_420,5
101_421,1
101_422,1
101_423,5
101_424,5
101_425,5
101_426,5
101_427,5
101_428,0
101_429,0
101_43,4
101_430,0
101_431,5
101_432,5
101_433,5
101_434,1
101_435,2
101_436,2
101_437,4
101_438,5
101_439,1
101_44,5
101_440,0
101_441,2
101_442,5
101_443,5
101_444,5
101_445,5
101_446,1
101_447,5
101_448,5
101_449,5
101_45,2
101_450,0
101_451,5
101_452,5
101_453,1
101_454,1
101_455,5
101_456,0
101_457,0
101_458,2
101_459,2
101_46,0
101_460,2
101_461,4
101_462,5
101_463,2
101_464,1
101_465,5
101_466,5
101_467,5
101_468,5
101_469,5
101_47,1
101_470,5
101_471,2
101_472,0
101_473,5
101_474,5
101_475,5
101_476,5
101_477,5
101_478,5
101_479,0
101_48,2
101_480,4
101_481,5
101_482,5
101_483,1
101_484,0
101_485,3
101_486,5
101_487,5
101_488,5
101_489,5
101_49,5
101_490,1
101_492,5
101_493,5
101_494,1
101_495,1
101_496,5
101_497,0
101_498,2
101_499,5
101_5,5
101_50,5
101_500,5
101_501,5
101_502,2
101_503,2
101_504,5
101_505,5
101_506,5
101_507,1
101_508,5
101_509,4
101_51,5
101_510,5
101_511,5
101_512,2
101_513,5
101_514,2
101_515,2
101_516,5
101_517,5
101_518,2
101_519,5
101_52,5
101_520,5
101_521,5
101_522,2
101_523,0
101_524,2
101_525,4
101_526,1
101_527,2
101_528,4
101_53,0
101_530,5
101_531,5
101_532,5
101_533,5
101_534,5
101_535,0
101_536,3
101_537,0
101_538,2
101_539,5
101_54,0
101_540,5
101_541,2
101_542,2
101_543,5
101_544,5
101_545,5
101_546,0
101_547,0
101_548,1
101_549,5
101_55,3
101_550,5
101_551,5
101_552,0
101_553,5
101_554,1
101_555,5
101_556,1
101_557,2
101_558,5
101_559,2
101_56,1
101_560,1
101_561,0
101_562,3
101_563,1
101_564,2
101_565,2
101_566,2
101_567,5
101_568,0
101_569,2
101_57,0
101_570,2
101_571,1
101_572,5
101_573,5
101_574,1
101_575,0
101_576,0
101_577,2
101_578,0
101_579,0
101_58,5
101_580,5
101_581,3
101_582,2
101_583,1
101_584,5
101_585,0
101_586,5
101_587,5
