location,cluster
101_1,5
101_10,1
101_100,3
101_1000,4
101_1001,5
101_1002,5
101_1003,5
101_1004,5
101_1005,5
101_1006,1
101_1007,2
101_1008,1
101_1009,5
101_101,5
101_1010,5
101_1013,3
101_1014,0
101_1015,1
101_1016,4
101_1017,3
101_1018,0
101_1019,3
101_102,5
101_1020,1
101_1021,0
101_1022,1
101_1023,1
101_1024,3
101_1025,1
101_1026,3
101_1027,1
101_1028,4
101_1029,1
101_103,4
101_1030,1
101_1031,5
101_1032,5
101_1033,0
101_1034,5
101_1035,3
101_1036,2
101_1037,1
101_1038,3
101_1039,1
101_104,4
101_1040,5
101_1042,1
101_1043,1
101_1044,4
101_1045,3
101_1046,5
101_1047,2
101_1048,5
101_1049,0
101_105,3
101_1050,5
101_1051,3
101_1052,3
101_1054,1
101_1055,5
101_1056,3
101_1057,1
101_1058,1
101_1059,1
101_106,5
101_1060,1
101_1061,0
101_1063,3
101_1064,4
101_1065,1
101_1066,1
101_1067,1
101_1068,3
101_1069,4
101_107,4
101_1070,1
101_1071,5
101_1073,5
101_1074,5
101_1075,0
101_1076,1
101_1077,1
101_1078,5
101_1079,0
101_108,4
101_1081,1
101_1082,3
101_1083,4
101_1084,5
101_1085,1
101_1086,3
101_1087,5
101_1088,0
101_1089,1
101_109,4
101_1090,0
101_1091,1
101_1092,1
101_1093,3
101_1094,1
101_1095,5
101_1097,1
101_1099,5
101_11,1
101_110,1
101_1100,5
101_1101,0
101_1102,1
101_1103,5
101_1104,4
101_1105,0
101_1106,3
101_1107,5
101_1108,3
101_1109,1
101_111,3
101_1110,5
101_1111,1
101_1112,1
101_1113,5
101_1114,4
101_1115,1
101_1116,5
101_1117,1
101_1118,3
101_1119,3
101_112,5
101_1120,0
101_1121,3
101_1122,1
101_1123,3
101_1124,3
101_1125,5
101_1126,3
101_1127,0
101_1128,3
101_1129,3
101_113,5
101_1130,1
101_1131,4
101_1132,3
101_1133,3
101_1134,3
101_1135,1
101_1136,4
101_1137,3
101_1138,4
101_1139,1
101_114,5
101_1140,4
101_1141,1
101_1142,1
101_1143,1
101_1144,1
101_1145,4
101_1146,1
101_1147,5
101_1148,3
101_1149,1
101_115,5
101_1150,4
101_1151,5
101_1152,3
101_1153,1
101_1154,4
101_1155,2
101_1156,1
101_1158,1
101_1159,3
101_116,1
101_1160,1
101_1161,3
101_1162,1
101_1163,1
101_1164,5
101_1165,5
101_1166,1
101_1167,1
101_1168,3
101_1169,5
101_117,1
101_1170,5
101_1172,2
101_1173,1
101_1174,5
101_1176,5
101_1177,3
101_1179,3
101_118,5
101_1180,5
101_1181,1
101_1182,5
101_1183,3
101_1184,5
101_1185,1
101_1186,1
