location,cluster
101_1,5
101_10,5
101_100,5
101_1000,5
101_1001,5
101_1002,3
101_1003,5
101_1004,3
101_1005,3
101_1006,5
101_1007,3
101_1008,3
101_1009,3
101_101,3
101_1010,3
101_1013,1
101_1014,3
101_1015,5
101_1016,0
101_1017,1
101_1018,4
101_1019,3
101_102,5
101_1020,3
101_1021,0
101_1022,3
101_1023,5
101_1024,1
101_1025,3
101_1026,5
101_1027,5
101_1028,1
101_1029,5
101_103,1
101_1030,5
101_1031,0
101_1032,3
101_1033,1
101_1034,3
101_1035,1
101_1036,5
101_1037,3
101_1038,5
101_1039,5
101_104,3
101_1040,3
101_1042,5
101_1043,5
101_1044,5
101_1045,5
101_1046,5
101_1047,1
101_1048,3
101_1049,5
101_105,5
101_1050,3
101_1051,3
101_1052,5
101_1054,3
101_1055,3
101_1056,5
101_1057,3
101_1058,5
101_1059,1
101_106,5
101_1060,3
101_1061,5
101_1063,5
101_1064,5
101_1065,5
101_1066,3
101_1067,3
101_1068,1
101_1069,5
101_107,5
101_1070,5
101_1071,3
101_1073,3
101_1074,3
101_1075,3
101_1076,3
101_1077,3
101_1078,0
101_1079,2
101_108,5
101_1081,3
101_1082,1
101_1083,5
101_1084,3
101_1085,3
101_1086,3
101_1087,3
101_1088,3
101_1089,5
101_109,5
101_1090,0
101_1091,3
101_1092,5
101_1093,3
101_1094,5
101_1095,3
101_1097,5
101_1099,3
101_11,3
101_110,5
101_1100,5
101_1101,5
101_1102,3
101_1103,5
101_1104,5
101_1105,5
101_1106,5
101_1107,3
101_1108,3
101_1109,3
101_111,0
101_1110,3
101_1111,5
101_1112,5
101_1113,5
101_1114,5
101_1115,3
101_1116,3
101_1117,5
101_1118,5
101_1119,3
101_112,0
101_1120,3
101_1121,5
101_1122,0
101_1123,5
101_1124,1
101_1125,5
101_1126,5
101_1127,0
101_1128,1
101_1129,5
101_113,2
101_1130,5
101_1131,5
101_1132,3
101_1133,5
101_1134,5
101_1135,1
101_1136,5
101_1137,5
101_1138,5
101_1139,3
101_114,0
101_1140,5
101_1141,3
101_1142,5
101_1143,3
101_1144,3
101_1145,5
101_1146,5
101_1147,3
101_1148,5
101_1149,5
101_115,3
101_1150,5
101_1151,3
101_1152,5
101_1153,5
101_1154,5
101_1155,1
101_1156,5
101_1158,5
101_1159,5
101_116,3
101_1160,5
101_1161,5
101_1162,3
101_1163,5
101_1164,3
101_1165,3
101_1166,5
101_1167,5
101_1168,5
101_1169,0
101_117,5
101_1170,5
101_1172,5
101_1173,5
101_1174,0
101_1176,3
101_1177,5
101_1179,3
101_118,3
101_1180,3
101_1181,5
101_1182,0
101_1183,5
101_1184,3
101_1185,5
101_1186,3
101_1187,5
101_1188,5
101_1189,0
101_119,3
101_1190,5
101_1191,3
101_1192,1
101_1193,5
101_1194,3
101_1195,5
101_1196,5
101_1197,5
101_1198,0
101_1199,3
101_12,5
101_120,3
101_1200,3
101_1201,5
101_1202,3
101_1204,5
101_1206,3
101_1207,5
101_121,1
101_122,3
101_123,3
101_124,3
101_125,3
101_126,3
101_127,3
101_128,3
101_129,3
101_13,0
101_130,0
101_131,3
101_132,1
101_133,5
101_134,3
101_135,5
101_136,5
101_137,0
101_138,3
101_139,3
101_14,3
101_140,1
101_141,0
101_142,0
101_143,3
101_144,0
101_145,3
101_146,3
101_147,3
101_148,3
101_149,3
101_15,5
101_150,3
101_151,5
101_152,3
101_153,3
101_154,3
101_155,3
101_156,3
101_157,0
101_158,3
101_159,3
101_16,3
101_160,3
101_161,3
101_162,3
101_163,3
101_164,3
101_165,5
101_166,3
101_167,5
101_168,3
101_169,3
101_17,3
101_170,5
101_171,5
101_172,5
101_173,5
101_174,3
101_175,5
101_176,3
101_177,3
101_178,3
101_179,5
101_18,0
101_180,3
101_181,5
101_182,3
101_183,3
101_184,3
101_185,3
101_186,5
101_187,1
101_188,1
101_189,5
101_19,0
101_191,5
101_192,3
101_193,0
101_194,3
101_195,4
101_196,5
101_197,3
101_198,5
101_199,5
101_2,5
101_20,3
101_200,3
101_201,5
101_202,5
101_203,5
101_204,5
101_205,3
101_206,3
101_207,5
101_208,5
101_209,5
101_21,0
101_210,5
101_211,5
101_212,5
101_213,1
101_214,5
101_215,3
101_216,5
101_217,5
101_218,3
101_219,0
101_22,5
101_220,3
101_221,1
101_222,5
101_223,3
101_224,0
101_225,5
101_226,5
101_227,5
101_228,3
101_229,3
101_23,3
101_230,5
101_231,1
101_232,3
101_233,5
101_234,5
101_235,3
101_236,1
101_237,5
101_238,3
101_239,3
101_24,5
101_240,1
101_241,5
101_242,5
101_243,5
101_244,5
101_245,5
101_246,3
101_247,3
101_248,3
101_249,0
101_25,5
101_250,5
101_251,3
101_252,5
101_253,3
101_254,3
101_255,5
101_256,5
101_257,5
101_258,5
101_259,5
101_26,3
101_260,5
101_261,5
101_262,3
101_263,5
101_264,3
101_265,0
101_266,3
101_267,3
101_268,0
101_269,3
101_27,5
101_270,3
101_271,1
101_272,0
101_273,3
101_274,5
101_275,3
101_276,0
101_277,3
101_278,1
101_279,3
101_28,5
101_280,3
101_281,5
101_282,3
101_283,0
101_284,5
101_285,3
101_286,2
101_287,5
101_288,5
101_289,5
101_29,3
101_290,3
101_291,5
101_292,5
101_293,5
101_294,3
101_295,5
101_296,5
101_297,5
101_298,1
101_299,3
101_3,5
101_30,3
101_300,5
101_301,5
101_302,5
101_303,5
101_304,5
101_305,5
101_306,5
101_307,5
101_308,5
101_309,3
101_31,3
101_310,3
101_311,3
101_312,3
101_313,5
101_314,5
101_315,3
101_316,3
101_317,1
101_318,3
101_319,2
101_32,3
101_320,5
101_321,3
101_322,3
101_323,3
101_324,5
101_325,5
101_326,5
101_327,5
101_328,5
101_329,5
101_33,3
101_330,3
101_331,3
101_332,5
101_333,0
101_334,2
101_335,0
101_336,0
101_337,5
101_338,5
101_339,3
101_34,3
101_340,5
101_341,0
101_342,3
101_343,3
101_344,1
101_345,5
101_346,1
101_347,5
101_348,5
101_349,3
101_35,3
101_350,5
101_351,3
101_352,1
101_353,5
101_354,3
101_355,1
101_356,5
101_357,5
101_358,5
101_359,3
101_36,3
101_360,5
101_361,5
101_362,5
101_363,5
101_364,3
101_365,5
101_366,5
101_367,3
101_368,5
101_369,5
101_37,3
101_370,5
101_371,0
101_372,5
101_373,3
101_374,5
101_375,3
101_376,5
101_377,5
101_378,5
101_379,5
101_38,3
101_380,3
101_381,5
101_382,5
101_383,5
101_384,5
101_385,3
101_386,5
101_387,3
101_388,5
101_389,5
101_39,5
101_390,3
101_391,5
101_392,5
101_393,0
101_394,5
101_395,3
101_396,5
101_397,3
101_398,5
101_399,1
101_4,5
101_40,5
101_400,5
101_401,3
101_402,5
101_403,5
101_404,3
101_405,5
101_406,5
101_407,4
101_408,1
101_409,0
101_41,3
101_410,3
101_411,5
101_412,5
101_413,1
101_414,5
101_415,3
101_416,3
101_417,5
101_418,0
101_419,3
101_42,5
101_420,5
101_421,1
101_422,1
101_423,5
101_424,3
101_425,1
101_426,3
101_427,5
101_428,0
101_429,3
101_43,0
101_430,3
101_431,3
101_432,5
101_433,5
101_434,0
101_435,3
101_436,0
101_437,5
101_438,3
101_439,5
101_44,3
101_440,3
101_441,0
101_442,3
101_443,5
101_444,5
101_445,5
101_446,1
101_447,5
101_448,5
101_449,5
101_45,3
101_450,5
101_451,3
101_452,5
101_453,1
101_454,1
101_455,3
101_456,3
101_457,3
101_458,3
101_459,3
101_46,3
101_460,3
101_461,4
101_462,5
101_463,3
101_464,5
101_465,1
101_466,5
101_467,5
101_468,3
101_469,3
101_47,0
101_470,3
101_471,3
101_472,0
101_473,5
101_474,3
101_475,3
101_476,5
101_477,3
101_478,5
101_479,5
101_48,5
101_480,1
101_481,5
101_482,5
101_483,0
101_484,5
101_485,2
101_486,5
101_487,3
101_488,1
101_489,5
101_49,3
101_490,1
101_492,5
101_493,3
101_494,1
101_495,5
101_496,5
101_497,3
101_498,5
101_499,5
101_5,5
101_50,5
101_500,5
101_501,5
101_502,5
101_503,0
101_504,3
101_505,3
101_506,5
101_507,0
101_508,5
101_509,3
101_51,3
101_510,3
101_511,3
101_512,3
101_513,5
101_514,0
101_515,3
101_516,3
101_517,3
101_518,3
101_519,0
