location,cluster
101_1,2
101_10,2
101_100,2
101_1000,4
101_1001,2
101_1002,0
101_1003,1
101_1004,0
101_1005,0
101_1006,3
101_1007,1
101_1008,2
101_1009,3
101_101,1
101_1010,2
101_1013,3
101_1014,2
101_1015,0
101_1016,1
101_1017,1
101_1018,0
101_1019,0
101_102,1
101_1020,3
101_1021,4
101_1022,2
101_1023,3
101_1024,1
101_1025,0
101_1026,1
101_1027,0
101_1028,5
101_1029,1
101_103,0
101_1030,0
101_1031,0
101_1032,3
101_1033,5
101_1034,1
101_1035,0
101_1036,3
101_1037,0
101_1038,4
101_1039,3
101_104,3
101_1040,1
101_1042,2
101_1043,2
101_1044,0
101_1045,2
101_1046,3
101_1047,2
101_1048,1
101_1049,1
101_105,3
101_1050,2
101_1051,1
101_1052,4
101_1054,0
101_1055,0
101_1056,2
101_1057,3
101_1058,4
101_1059,3
101_106,4
101_1060,0
101_1061,5
101_1063,4
101_1064,0
101_1065,2
101_1066,4
101_1067,2
101_1068,5
101_1069,2
101_107,0
101_1070,4
101_1071,3
101_1073,0
101_1074,0
101_1075,0
101_1076,0
101_1077,0
101_1078,3
101_1079,5
101_108,2
101_1081,0
101_1082,3
101_1083,3
101_1084,0
101_1085,2
101_1086,1
101_1087,0
101_1088,1
101_1089,2
101_109,4
101_1090,1
101_1091,3
101_1092,2
101_1093,4
101_1094,2
101_1095,0
101_1097,4
101_1099,0
101_11,3
101_110,2
101_1100,5
101_1101,0
101_1102,2
101_1103,2
101_1104,1
101_1105,2
101_1106,5
101_1107,4
101_1108,1
101_1109,4
101_111,2
101_1110,2
101_1111,4
101_1112,3
101_1113,0
101_1114,4
101_1115,0
101_1116,4
101_1117,2
101_1118,0
101_1119,4
101_112,2
101_1120,0
101_1121,4
101_1122,3
101_1123,0
101_1124,3
101_1125,1
101_1126,2
101_1127,4
101_1128,4
101_1129,4
101_113,2
101_1130,2
101_1131,3
101_1132,4
101_1133,2
101_1134,3
101_1135,2
101_1136,1
101_1137,4
101_1138,3
101_1139,1
101_114,1
