location,cluster
101_1,4
101_10,1
101_100,0
101_1000,1
101_1001,1
101_1002,0
101_1003,3
101_1004,5
101_1005,4
101_1006,5
101_1007,3
101_1008,4
101_1009,1
101_101,3
101_1010,0
101_1013,2
101_1014,0
101_1015,0
101_1016,2
101_1017,3
101_1018,4
101_1019,3
101_102,3
101_1020,1
101_1021,1
101_1022,4
101_1023,1
101_1024,4
101_1025,0
101_1026,3
101_1027,1
101_1028,1
101_1029,1
101_103,4
101_1030,0
101_1031,4
101_1032,1
101_1033,0
101_1034,3
101_1035,4
101_1036,5
101_1037,1
101_1038,1
101_1039,1
101_104,1
101_1040,2
101_1042,1
101_1043,2
101_1044,1
101_1045,1
101_1046,2
101_1047,1
101_1048,2
101_1049,1
101_105,0
101_1050,2
101_1051,2
101_1052,1
101_1054,2
101_1055,1
101_1056,1
101_1057,5
101_1058,3
101_1059,0
101_106,0
101_1060,0
101_1061,1
101_1063,4
101_1064,3
101_1065,1
101_1066,0
101_1067,4
101_1068,3
101_1069,3
101_107,4
101_1070,1
101_1071,0
101_1073,1
101_1074,4
101_1075,4
101_1076,1
101_1077,4
101_1078,0
101_1079,3
101_108,1
101_1081,4
101_1082,5
101_1083,0
101_1084,4
101_1085,2
101_1086,2
101_1087,1
101_1088,0
101_1089,4
101_109,0
101_1090,3
101_1091,1
101_1092,0
101_1093,0
101_1094,1
101_1095,0
101_1097,1
101_1099,1
101_11,5
101_110,0
101_1100,3
101_1101,4
101_1102,0
101_1103,1
101_1104,2
101_1105,4
101_1106,3
101_1107,1
101_1108,0
101_1109,1
101_111,1
101_1110,1
101_1111,3
101_1112,2
101_1113,2
101_1114,3
101_1115,0
101_1116,3
101_1117,1
101_1118,0
101_1119,1
101_112,2
101_1120,1
101_1121,3
101_1122,1
101_1123,5
101_1124,4
101_1125,3
101_1126,2
101_1127,4
101_1128,1
101_1129,3
101_113,0
101_1130,0
101_1131,2
101_1132,2
101_1133,1
101_1134,1
101_1135,1
101_1136,2
101_1137,1
101_1138,1
101_1139,3
101_114,0
101_1140,1
101_1141,2
101_1142,2
101_1143,2
101_1144,0
101_1145,3
101_1146,2
101_1147,1
101_1148,1
101_1149,0
101_115,0
101_1150,0
101_1151,3
101_1152,2
101_1153,1
101_1154,1
101_1155,2
101_1156,4
101_1158,4
101_1159,4
101_116,1
101_1160,3
101_1161,0
101_1162,5
101_1163,2
101_1164,1
101_1165,4
101_1166,3
101_1167,2
101_1168,2
101_1169,3
101_117,0
101_1170,0
101_1172,2
101_1173,3
101_1174,4
101_1176,1
101_1177,3
101_1179,1
101_118,1
101_1180,1
101_1181,1
101_1182,2
101_1183,1
101_1184,2
101_1185,1
101_1186,3
101_1187,3
101_1188,4
101_1189,0
101_119,4
101_1190,3
101_1191,1
101_1192,3
101_1193,5
101_1194,0
101_1195,1
101_1196,2
101_1197,1
101_1198,2
101_1199,3
101_12,1
101_120,0
101_1200,1
101_1201,3
101_1202,3
101_1204,3
101_1206,3
101_1207,3
101_121,4
101_122,1
101_123,3
101_124,2
101_125,4
101_126,0
101_127,2
101_128,3
101_129,2
101_13,3
101_130,1
101_131,1
101_132,5
101_133,0
101_134,0
101_135,1
101_136,2
101_137,1
101_138,0
101_139,3
101_14,3
101_140,4
101_141,2
101_142,0
101_143,2
101_144,2
101_145,4
101_146,4
101_147,2
101_148,1
101_149,4
101_15,1
101_150,0
101_151,1
101_152,5
101_153,1
101_154,1
101_155,4
101_156,2
101_157,3
101_158,2
101_159,2
101_16,1
101_160,0
101_161,4
101_162,0
101_163,0
101_164,2
101_165,1
101_166,2
101_167,3
101_168,4
101_169,4
101_17,2
101_170,1
101_171,0
101_172,0
101_173,2
101_174,3
101_175,1
101_176,3
101_177,4
101_178,2
101_179,1
101_18,5
101_180,4
101_181,2
101_182,0
101_183,5
101_184,4
101_185,1
101_186,0
101_187,0
101_188,1
101_189,1
101_19,3
101_191,5
101_192,0
101_193,5
101_194,1
101_195,0
101_196,2
101_197,1
101_198,2
101_199,0
101_2,2
101_20,1
101_200,5
101_201,1
101_202,1
101_203,4
101_204,0
101_205,4
101_206,0
101_207,1
101_208,4
101_209,4
101_21,2
101_210,2
101_211,0
101_212,2
101_213,0
101_214,0
101_215,3
101_216,3
101_217,1
101_218,0
101_219,3
101_22,3
101_220,1
101_221,0
101_222,2
101_223,0
101_224,3
