location,cluster
101_1,1
101_10,5
101_100,5
101_1000,1
101_1001,0
101_1002,5
101_1003,3
101_1004,0
101_1005,5
101_1006,4
101_1007,4
101_1008,5
101_1009,4
101_101,0
101_1010,5
101_1013,2
101_1014,5
101_1015,2
101_1016,0
101_1017,3
101_1018,4
101_1019,4
101_102,3
101_1020,1
101_1021,3
101_1022,3
101_1023,1
101_1024,2
101_1025,0
101_1026,4
101_1027,4
101_1028,2
101_1029,4
101_103,5
101_1030,0
101_1031,5
101_1032,2
101_1033,1
101_1034,4
101_1035,2
101_1036,1
101_1037,5
101_1038,2
101_1039,1
101_104,4
101_1040,3
101_1042,5
101_1043,2
101_1044,0
101_1045,1
101_1046,3
101_1047,0
101_1048,4
101_1049,4
101_105,4
101_1050,4
101_1051,5
101_1052,1
101_1054,0
101_1055,4
101_1056,5
101_1057,2
101_1058,1
101_1059,2
101_106,3
101_1060,5
101_1061,1
101_1063,1
101_1064,0
101_1065,5
101_1066,2
101_1067,5
101_1068,4
101_1069,5
101_107,3
101_1070,1
101_1071,4
101_1073,0
101_1074,4
101_1075,4
101_1076,0
101_1077,0
101_1078,2
101_1079,4
101_108,2
101_1081,4
101_1082,1
101_1083,4
101_1084,4
101_1085,3
101_1086,4
101_1087,4
101_1088,0
101_1089,3
101_109,3
101_1090,1
101_1091,4
101_1092,5
101_1093,3
101_1094,4
101_1095,0
101_1097,1
101_1099,0
101_11,1
101_110,1
101_1100,0
101_1101,2
101_1102,5
101_1103,1
101_1104,3
101_1105,3
101_1106,1
101_1107,1
101_1108,5
101_1109,1
101_111,5
101_1110,3
101_1111,4
101_1112,4
101_1113,0
101_1114,2
101_1115,0
101_1116,2
101_1117,3
101_1118,0
101_1119,1
101_112,2
101_1120,4
101_1121,1
101_1122,4
101_1123,0
101_1124,1
101_1125,1
101_1126,2
101_1127,1
101_1128,1
101_1129,3
101_113,5
101_1130,3
101_1131,1
101_1132,1
101_1133,4
101_1134,4
101_1135,5
101_1136,0
101_1137,1
101_1138,4
101_1139,0
101_114,5
101_1140,3
101_1141,3
101_1142,2
101_1143,2
101_1144,3
101_1145,1
101_1146,4
101_1147,2
101_1148,1
101_1149,4
101_115,0
101_1150,3
101_1151,0
101_1152,2
101_1153,3
101_1154,1
101_1155,1
101_1156,1
101_1158,3
101_1159,5
101_116,0
101_1160,3
101_1161,1
101_1162,2
101_1163,0
101_1164,2
101_1165,3
101_1166,1
101_1167,0
101_1168,5
101_1169,1
101_117,4
101_1170,3
101_1172,1
101_1173,4
101_1174,0
101_1176,3
101_1177,3
101_1179,1
101_118,5
101_1180,3
101_1181,0
101_1182,4
101_1183,0
101_1184,4
101_1185,1
101_1186,3
101_1187,1
101_1188,3
101_1189,1
101_119,0
101_1190,0
101_1191,0
101_1192,2
101_1193,2
101_1194,3
101_1195,4
101_1196,0
101_1197,3
101_1198,4
101_1199,5
101_12,4
101_120,0
101_1200,3
101_1201,1
101_1202,1
101_1204,4
101_1206,2
101_1207,2
101_121,1
101_122,0
101_123,5
101_124,2
101_125,0
101_126,4
101_127,0
101_128,0
101_129,4
101_13,2
101_130,4
101_131,1
101_132,5
101_133,4
101_134,4
101_135,4
101_136,2
101_137,0
101_138,2
101_139,0
101_14,1
101_140,1
101_141,5
101_142,3
101_143,0
101_144,5
101_145,5
101_146,0
101_147,0
101_148,0
101_149,0
101_15,3
101_150,0
101_151,1
101_152,5
101_153,0
101_154,0
101_155,5
101_156,0
101_157,5
101_158,0
101_159,0
101_16,5
101_160,0
101_161,0
101_162,5
101_163,5
101_164,0
101_165,2
101_166,4
101_167,5
101_168,4
101_169,0
101_17,0
101_170,0
101_171,2
101_172,5
101_173,0
101_174,2
101_175,4
101_176,5
101_177,0
101_178,0
101_179,5
101_18,3
101_180,5
101_181,0
101_182,0
101_183,0
101_184,1
101_185,0
101_186,1
101_187,4
101_188,4
101_189,0
101_19,5
101_191,0
101_192,2
101_193,2
101_194,5
101_195,4
101_196,5
101_197,3
101_198,5
101_199,4
101_2,4
101_20,2
101_200,0
101_201,5
101_202,1
101_203,1
101_204,5
101_205,1
101_206,2
101_207,5
101_208,3
101_209,4
101_21,3
101_210,3
101_211,5
101_212,2
101_213,3
101_214,4
101_215,5
101_216,3
101_217,5
101_218,5
101_219,1
101_22,2
101_220,2
101_221,5
101_222,4
101_223,3
101_224,3
101_225,4
101_226,0
101_227,4
101_228,2
101_229,2
101_23,4
101_230,1
101_231,5
101_232,0
101_233,0
101_234,4
101_235,5
101_236,4
101_237,2
101_238,1
101_239,1
101_24,5
101_240,3
101_241,4
101_242,4
101_243,5
101_244,4
101_245,0
101_246,0
101_247,5
101_248,2
101_249,3
101_25,1
101_250,5
101_251,2
101_252,0
101_253,1
101_254,3
101_255,3
101_256,3
101_257,4
101_258,4
101_259,4
101_26,0
101_260,4
101_261,2
101_262,0
101_263,4
101_264,0
101_265,4
101_266,3
101_267,5
101_268,0
101_269,2
101_27,4
101_270,0
101_271,1
101_272,3
101_273,1
101_274,3
101_275,2
101_276,1
101_277,2
101_278,0
101_279,0
101_28,3
101_280,0
101_281,5
101_282,2
101_283,0
101_284,2
101_285,4
101_286,1
101_287,3
101_288,3
101_289,2
101_29,2
101_290,4
101_291,1
101_292,0
101_293,0
101_294,2
101_295,5
101_296,4
101_297,3
101_298,2
101_299,1
101_3,3
101_30,0
101_300,1
101_301,4
101_302,2
101_303,2
101_304,3
101_305,2
101_306,3
101_307,1
101_308,1
101_309,2
101_31,0
101_310,2
101_311,3
101_312,0
101_313,1
101_314,4
101_315,2
101_316,1
101_317,2
101_318,0
101_319,0
101_32,0
101_320,1
101_321,5
101_322,2
101_323,0
101_324,1
101_325,5
101_326,0
101_327,3
101_328,5
101_329,0
101_33,0
101_330,4
101_331,4
101_332,3
101_333,5
101_334,0
101_335,4
101_336,3
101_337,5
101_338,1
101_339,0
101_34,0
101_340,2
101_341,5
101_342,0
101_343,0
101_344,2
101_345,0
101_346,2
101_347,4
101_348,5
101_349,3
101_35,5
101_350,2
101_351,1
101_352,0
101_353,4
101_354,3
101_355,4
101_356,5
101_357,5
101_358,4
101_359,3
101_36,2
101_360,4
101_361,1
101_362,2
101_363,4
101_364,0
101_365,3
101_366,1
101_367,5
101_368,3
101_369,1
101_37,0
101_370,0
101_371,4
101_372,1
101_373,0
101_374,2
101_375,4
101_376,4
101_377,0
101_378,1
101_379,1
101_38,5
101_380,0
101_381,1
101_382,1
101_383,4
101_384,2
101_385,0
101_386,0
101_387,1
101_388,1
101_389,1
101_39,2
101_390,4
101_391,5
101_392,2
101_393,1
101_394,4
101_395,0
101_396,4
101_397,3
101_398,2
101_399,3
101_4,2
101_40,4
101_400,2
101_401,3
101_402,2
101_403,2
101_404,0
101_405,1
101_406,4
101_407,0
101_408,2
101_409,0
101_41,3
101_410,0
101_411,5
101_412,4
101_413,5
101_414,4
101_415,5
101_416,3
101_417,2
101_418,1
101_419,0
101_42,1
101_420,2
101_421,1
101_422,1
101_423,4
101_424,2
101_425,4
101_426,1
101_427,5
101_428,3
101_429,3
101_43,0
101_430,4
101_431,5
101_432,5
101_433,1
101_434,2
101_435,4
101_436,2
101_437,3
101_438,1
101_439,1
101_44,2
101_440,4
101_441,3
101_442,0
101_443,1
101_444,1
101_445,1
101_446,5
101_447,1
101_448,2
101_449,3
101_45,0
101_450,1
101_451,5
101_452,1
101_453,1
101_454,4
101_455,1
101_456,2
101_457,2
101_458,5
101_459,0
101_46,0
101_460,3
101_461,4
101_462,3
101_463,3
101_464,3
101_465,3
101_466,4
101_467,0
101_468,1
101_469,4
101_47,0
101_470,1
101_471,4
101_472,3
101_473,4
101_474,4
101_475,3
101_476,3
101_477,5
101_478,3
101_479,5
101_48,3
101_480,2
101_481,0
101_482,2
101_483,4
101_484,5
101_485,5
101_486,3
101_487,4
101_488,1
101_489,3
101_49,3
101_490,2
101_492,1
101_493,0
101_494,4
101_495,1
101_496,1
101_497,2
101_498,5
101_499,3
101_5,3
101_50,3
101_500,1
101_501,2
101_502,3
101_503,0
101_504,0
101_505,4
101_506,4
101_507,5
101_508,0
101_509,3
101_51,3
101_510,1
101_511,4
101_512,0
101_513,2
101_514,3
101_515,5
101_516,1
101_517,3
101_518,0
101_519,0
101_52,4
101_520,3
101_521,4
101_522,4
101_523,3
101_524,2
101_525,1
101_526,3
101_527,5
101_528,3
101_53,4
101_530,2
101_531,1
101_532,4
101_533,1
101_534,2
101_535,2
101_536,2
101_537,3
101_538,3
101_539,0
101_54,4
101_540,2
101_541,0
101_542,2
101_543,3
101_544,0
101_545,2
101_546,5
101_547,4
101_548,0
101_549,1
101_55,0
101_550,1
101_551,2
101_552,5
101_553,3
101_554,1
101_555,3
101_556,1
101_557,5
101_558,5
101_559,3
101_56,4
101_560,1
101_561,1
101_562,4
101_563,5
101_564,3
101_565,4
101_566,0
101_567,0
101_568,4
101_569,5
101_57,4
101_570,3
101_571,2
101_572,5
101_573,5
101_574,2
101_575,4
101_576,0
101_577,5
101_578,0
101_579,0
101_58,2
101_580,4
101_581,2
101_582,1
101_583,1
101_584,2
101_585,1
101_586,4
101_587,3
