location,cluster
101_1,4
101_10,1
101_100,1
101_1000,3
101_1001,1
101_1002,1
101_1003,4
101_1004,3
101_1005,2
101_1006,0
101_1007,5
101_1008,3
101_1009,5
101_101,3
101_1010,5
101_1013,2
101_1014,4
101_1015,1
101_1016,4
101_1017,4
101_1018,4
101_1019,0
101_102,0
101_1020,1
101_1021,4
101_1022,2
101_1023,1
101_1024,0
101_1025,1
101_1026,2
101_1027,2
101_1028,3
101_1029,4
101_103,5
101_1030,1
101_1031,1
101_1032,1
101_1033,5
101_1034,5
101_1035,1
101_1036,4
101_1037,5
101_1038,5
101_1039,1
101_104,5
101_1040,4
101_1042,1
101_1043,1
101_1044,5
101_1045,5
101_1046,2
101_1047,4
101_1048,0
101_1049,1
101_105,0
101_1050,4
101_1051,3
101_1052,3
101_1054,3
101_1055,0
101_1056,2
101_1057,0
101_1058,4
101_1059,5
101_106,2
101_1060,5
101_1061,5
101_1063,1
101_1064,2
101_1065,1
101_1066,1
101_1067,1
101_1068,4
101_1069,4
101_107,2
101_1070,3
101_1071,1
101_1073,0
101_1074,0
101_1075,3
101_1076,0
101_1077,4
101_1078,4
101_1079,1
101_108,1
101_1081,3
101_1082,5
101_1083,2
101_1084,1
101_1085,1
101_1086,0
101_1087,5
101_1088,4
101_1089,2
101_109,1
101_1090,0
101_1091,2
101_1092,1
101_1093,3
101_1094,1
101_1095,2
101_1097,0
101_1099,5
101_11,0
101_110,1
101_1100,5
101_1101,4
101_1102,0
101_1103,0
101_1104,3
101_1105,3
101_1106,3
101_1107,3
101_1108,1
101_1109,3
101_111,0
101_1110,1
101_1111,1
101_1112,1
101_1113,4
101_1114,3
101_1115,4
101_1116,0
101_1117,0
101_1118,1
101_1119,1
101_112,0
101_1120,0
101_1121,1
101_1122,0
101_1123,2
101_1124,1
101_1125,5
101_1126,2
101_1127,5
101_1128,3
101_1129,1
101_113,5
101_1130,0
101_1131,4
101_1132,3
101_1133,3
101_1134,5
101_1135,0
101_1136,3
101_1137,3
101_1138,1
101_1139,3
101_114,5
101_1140,5
101_1141,3
101_1142,3
101_1143,3
101_1144,2
101_1145,3
101_1146,2
101_1147,3
101_1148,1
101_1149,1
101_115,5
101_1150,1
101_1151,3
101_1152,3
101_1153,4
101_1154,3
101_1155,2
101_1156,2
101_1158,2
101_1159,4
101_116,1
101_1160,2
101_1161,1
101_1162,5
101_1163,1
101_1164,1
101_1165,1
101_1166,2
101_1167,4
101_1168,0
101_1169,1
101_117,1
101_1170,4
101_1172,4
101_1173,3
101_1174,1
101_1176,2
101_1177,4
101_1179,1
101_118,5
101_1180,4
101_1181,2
101_1182,1
101_1183,5
101_1184,0
101_1185,0
101_1186,1
101_1187,5
101_1188,1
101_1189,1
101_119,3
101_1190,1
101_1191,3
101_1192,4
101_1193,3
101_1194,5
101_1195,4
101_1196,0
101_1197,4
101_1198,1
101_1199,4
101_12,4
101_120,5
101_1200,4
101_1201,3
101_1202,1
101_1204,1
101_1206,1
101_1207,3
101_121,3
101_122,0
101_123,3
101_124,3
101_125,0
101_126,3
101_127,3
101_128,4
101_129,2
101_13,1
101_130,0
101_131,3
101_132,0
101_133,3
101_134,5
101_135,3
101_136,4
101_137,1
101_138,5
101_139,4
101_14,2
101_140,3
101_141,0
101_142,1
101_143,0
101_144,0
101_145,3
101_146,3
101_147,3
101_148,3
101_149,3
101_15,4
101_150,3
101_151,3
101_152,1
101_153,3
101_154,5
101_155,0
101_156,3
101_157,5
101_158,3
101_159,2
101_16,0
101_160,3
101_161,2
101_162,2
101_163,0
101_164,0
101_165,2
101_166,4
101_167,1
101_168,5
101_169,3
101_17,1
101_170,3
101_171,3
101_172,3
101_173,5
101_174,0
101_175,5
101_176,3
101_177,3
101_178,3
101_179,3
101_18,1
101_180,4
101_181,3
101_182,1
101_183,2
101_184,0
101_185,0
101_186,0
101_187,4
101_188,1
101_189,5
101_19,0
101_191,1
101_192,1
101_193,0
101_194,4
101_195,1
101_196,4
101_197,1
101_198,1
101_199,2
101_2,1
101_20,1
101_200,2
101_201,2
101_202,2
101_203,3
101_204,4
101_205,1
101_206,0
101_207,3
101_208,0
101_209,1
101_21,0
101_210,0
101_211,0
101_212,1
101_213,4
101_214,1
101_215,5
101_216,5
101_217,2
101_218,4
101_219,0
101_22,0
101_220,2
101_221,4
101_222,0
101_223,2
101_224,1
