location,cluster
101_1,2
101_10,0
101_100,4
101_1000,0
101_1001,4
101_1002,0
101_1003,2
101_1004,2
101_1005,4
101_1006,5
101_1007,5
101_1008,0
101_1009,0
101_101,0
101_1010,1
101_1013,3
101_1014,1
101_1015,2
101_1016,1
101_1017,4
101_1018,4
101_1019,1
101_102,1
101_1020,2
101_1021,0
101_1022,4
101_1023,0
101_1024,1
101_1025,0
101_1026,2
101_1027,0
101_1028,1
101_1029,2
101_103,2
101_1030,0
101_1031,0
101_1032,0
101_1033,1
101_1034,2
101_1035,2
101_1036,1
101_1037,5
101_1038,4
101_1039,2
101_104,4
101_1040,3
101_1042,5
101_1043,3
101_1044,4
101_1045,4
101_1046,0
101_1047,3
101_1048,2
101_1049,3
101_105,4
101_1050,0
101_1051,1
101_1052,2
101_1054,2
101_1055,0
101_1056,0
101_1057,0
101_1058,4
101_1059,5
101_106,2
101_1060,0
101_1061,5
101_1063,5
101_1064,5
101_1065,0
101_1066,0
101_1067,1
101_1068,5
101_1069,2
101_107,4
101_1070,3
101_1071,0
101_1073,0
101_1074,0
101_1075,0
101_1076,2
101_1077,2
101_1078,0
101_1079,1
101_108,0
101_1081,5
101_1082,4
101_1083,0
101_1084,0
101_1085,0
101_1086,2
101_1087,5
101_1088,2
101_1089,0
101_109,5
101_1090,0
101_1091,0
101_1092,1
101_1093,0
101_1094,2
101_1095,0
101_1097,2
101_1099,0
101_11,0
101_110,4
101_1100,5
101_1101,4
101_1102,1
101_1103,0
101_1104,4
101_1105,3
101_1106,1
101_1107,0
101_1108,0
101_1109,5
101_111,0
101_1110,0
101_1111,0
101_1112,2
101_1113,1
101_1114,0
101_1115,1
101_1116,1
101_1117,4
101_1118,1
101_1119,0
101_112,0
101_1120,0
101_1121,0
101_1122,0
101_1123,1
101_1124,2
101_1125,1
101_1126,2
101_1127,3
101_1128,5
101_1129,2
101_113,0
101_1130,2
101_1131,1
101_1132,1
101_1133,0
101_1134,1
101_1135,2
101_1136,4
101_1137,0
101_1138,2
101_1139,0
101_114,0
101_1140,0
101_1141,4
101_1142,2
101_1143,0
101_1144,5
101_1145,1
101_1146,1
101_1147,0
101_1148,2
101_1149,0
101_115,0
101_1150,0
101_1151,1
101_1152,0
101_1153,5
101_1154,1
101_1155,0
101_1156,0
101_1158,0
101_1159,3
101_116,0
101_1160,5
101_1161,3
101_1162,0
101_1163,2
101_1164,0
101_1165,5
101_1166,4
101_1167,1
101_1168,0
101_1169,5
101_117,0
101_1170,0
101_1172,4
101_1173,4
101_1174,0
101_1176,0
101_1177,1
101_1179,2
101_118,0
101_1180,5
101_1181,4
101_1182,0
101_1183,5
101_1184,0
101_1185,4
101_1186,4
101_1187,5
101_1188,2
101_1189,0
101_119,0
101_1190,1
101_1191,4
101_1192,4
101_1193,0
101_1194,5
101_1195,1
101_1196,5
101_1197,4
101_1198,0
101_1199,1
101_12,3
101_120,3
101_1200,0
101_1201,1
101_1202,1
101_1204,1
101_1206,0
101_1207,1
101_121,0
101_122,0
101_123,1
101_124,0
101_125,0
101_126,0
101_127,1
101_128,2
101_129,0
101_13,5
101_130,0
101_131,0
101_132,0
101_133,0
101_134,0
101_135,0
101_136,2
101_137,0
101_138,0
101_139,0
101_14,3
101_140,4
101_141,0
101_142,0
101_143,0
101_144,0
101_145,0
101_146,1
101_147,1
101_148,0
101_149,1
101_15,3
101_150,0
101_151,5
101_152,0
101_153,1
101_154,1
101_155,1
101_156,1
101_157,0
101_158,0
101_159,0
101_16,1
101_160,4
101_161,2
101_162,1
101_163,0
101_164,2
101_165,4
101_166,3
101_167,0
101_168,1
101_169,0
101_17,3
101_170,0
101_171,0
101_172,1
101_173,0
101_174,0
101_175,5
101_176,1
101_177,2
101_178,1
101_179,0
101_18,0
101_180,2
101_181,2
101_182,0
101_183,0
101_184,0
101_185,2
101_186,5
101_187,5
101_188,5
101_189,0
101_19,0
101_191,4
101_192,4
101_193,0
101_194,5
101_195,0
101_196,0
101_197,0
101_198,4
101_199,0
101_2,0
101_20,0
101_200,0
101_201,0
101_202,0
101_203,0
101_204,0
101_205,3
101_206,0
101_207,0
101_208,0
101_209,2
101_21,3
101_210,4
101_211,4
101_212,0
101_213,0
101_214,2
101_215,0
101_216,0
101_217,1
101_218,0
101_219,0
101_22,0
101_220,5
101_221,5
101_222,0
101_223,1
101_224,1
101_225,0
101_226,1
101_227,1
101_228,5
101_229,0
101_23,0
101_230,2
101_231,4
101_232,3
101_233,4
101_234,0
101_235,2
101_236,0
101_237,5
101_238,0
101_239,0
101_24,0
101_240,0
101_241,0
101_242,0
101_243,0
101_244,1
101_245,0
101_246,1
101_247,0
101_248,0
101_249,0
101_25,0
101_250,0
101_251,0
101_252,0
101_253,0
101_254,5
101_255,0
101_256,0
101_257,0
101_258,0
101_259,2
101_26,0
101_260,0
101_261,2
101_262,0
101_263,0
101_264,3
101_265,4
101_266,0
101_267,3
101_268,0
101_269,5
101_27,0
101_270,3
101_271,3
101_272,0
101_273,0
101_274,5
101_275,4
101_276,4
101_277,0
101_278,1
101_279,3
101_28,0
101_280,1
101_281,0
101_282,0
101_283,3
101_284,4
101_285,1
101_286,0
101_287,0
101_288,0
101_289,0
101_29,0
101_290,0
101_291,2
101_292,0
101_293,0
101_294,1
101_295,0
101_296,0
101_297,5
101_298,2
101_299,0
101_3,0
101_30,2
101_300,0
101_301,0
101_302,5
101_303,5
101_304,0
101_305,1
101_306,5
101_307,4
101_308,0
101_309,1
101_31,0
101_310,4
101_311,0
101_312,0
101_313,2
101_314,0
101_315,0
101_316,1
101_317,3
101_318,2
101_319,0
101_32,2
101_320,0
101_321,0
101_322,2
101_323,2
101_324,0
101_325,0
101_326,0
101_327,0
101_328,0
101_329,1
101_33,0
101_330,1
101_331,1
101_332,2
101_333,0
101_334,0
101_335,0
101_336,2
101_337,2
101_338,0
101_339,0
101_34,0
101_340,4
101_341,0
101_342,2
101_343,2
101_344,1
101_345,1
101_346,1
101_347,2
101_348,1
101_349,0
101_35,0
101_350,1
101_351,3
101_352,0
101_353,0
101_354,0
101_355,0
101_356,0
101_357,0
101_358,2
101_359,0
101_36,0
101_360,0
101_361,1
101_362,0
101_363,2
101_364,0
101_365,5
101_366,4
101_367,2
101_368,3
101_369,4
101_37,0
101_370,3
101_371,2
101_372,0
101_373,1
101_374,1
101_375,2
101_376,0
101_377,4
101_378,5
101_379,2
101_38,1
101_380,5
101_381,2
101_382,0
101_383,0
101_384,0
101_385,0
101_386,2
101_387,0
101_388,0
101_389,0
101_39,0
101_390,0
101_391,0
101_392,0
101_393,0
101_394,0
101_395,0
101_396,0
101_397,5
101_398,1
101_399,0
101_4,0
101_40,0
101_400,0
101_401,0
101_402,0
101_403,4
101_404,0
101_405,0
101_406,0
101_407,0
101_408,5
101_409,0
101_41,5
101_410,2
101_411,4
101_412,4
101_413,5
101_414,0
101_415,0
101_416,0
101_417,5
101_418,0
101_419,4
101_42,2
101_420,2
101_421,0
101_422,5
101_423,2
101_424,1
101_425,0
101_426,5
101_427,0
101_428,5
101_429,0
101_43,1
101_430,2
101_431,0
101_432,2
101_433,0
101_434,0
101_435,1
101_436,4
101_437,4
101_438,2
101_439,0
101_44,0
101_440,0
101_441,0
101_442,5
101_443,0
101_444,0
101_445,0
101_446,0
101_447,0
101_448,1
101_449,4
101_45,0
101_450,0
101_451,0
101_452,0
101_453,0
101_454,0
101_455,0
101_456,3
101_457,2
101_458,4
101_459,0
101_46,0
101_460,0
101_461,5
101_462,5
101_463,0
101_464,0
101_465,4
101_466,3
101_467,3
101_468,0
101_469,0
101_47,0
101_470,0
101_471,0
101_472,0
101_473,3
101_474,0
101_475,5
101_476,2
101_477,0
101_478,5
101_479,0
101_48,4
101_480,1
101_481,2
101_482,0
101_483,4
101_484,0
101_485,0
101_486,4
101_487,4
101_488,5
101_489,0
101_49,0
101_490,5
101_492,4
101_493,1
101_494,4
101_495,5
101_496,5
101_497,5
101_498,5
101_499,5
101_5,0
101_50,1
101_500,0
101_501,4
101_502,0
101_503,4
101_504,1
101_505,0
101_506,0
101_507,5
101_508,4
101_509,1
101_51,0
101_510,5
101_511,0
