location,cluster
101_1,2
101_10,2
101_100,5
101_1000,2
101_1001,2
101_1002,3
101_1003,3
101_1004,2
101_1005,2
101_1006,2
101_1007,0
101_1008,0
101_1009,0
101_101,0
101_1010,2
101_1013,2
101_1014,5
101_1015,5
101_1016,0
101_1017,4
101_1018,1
101_1019,0
101_102,2
101_1020,2
101_1021,0
101_1022,0
101_1023,2
101_1024,5
101_1025,3
101_1026,0
101_1027,3
101_1028,0
101_1029,2
101_103,5
101_1030,0
101_1031,5
101_1032,0
101_1033,3
101_1034,2
101_1035,5
101_1036,3
101_1037,2
101_1038,3
101_1039,2
101_104,2
101_1040,2
101_1042,2
101_1043,2
101_1044,2
101_1045,2
101_1046,3
101_1047,4
101_1048,0
101_1049,3
101_105,2
101_1050,2
101_1051,2
101_1052,2
101_1054,2
101_1055,2
101_1056,2
101_1057,2
101_1058,2
101_1059,0
101_106,3
101_1060,2
101_1061,1
101_1063,4
101_1064,0
101_1065,5
101_1066,0
101_1067,2
101_1068,2
101_1069,3
101_107,2
101_1070,2
101_1071,2
101_1073,1
101_1074,0
101_1075,3
101_1076,2
101_1077,2
101_1078,5
101_1079,4
101_108,2
101_1081,2
101_1082,5
101_1083,3
101_1084,0
101_1085,2
101_1086,5
101_1087,2
101_1088,0
101_1089,2
101_109,2
101_1090,0
101_1091,0
101_1092,0
101_1093,2
101_1094,3
101_1095,2
101_1097,0
101_1099,0
101_11,0
101_110,3
101_1100,3
101_1101,3
101_1102,0
101_1103,0
101_1104,2
101_1105,3
101_1106,2
101_1107,3
101_1108,2
101_1109,2
101_111,2
101_1110,2
101_1111,3
101_1112,2
101_1113,3
101_1114,3
101_1115,5
101_1116,2
101_1117,5
101_1118,2
101_1119,4
101_112,2
101_1120,2
101_1121,0
101_1122,2
101_1123,2
101_1124,3
101_1125,2
101_1126,5
101_1127,5
101_1128,3
101_1129,3
101_113,0
101_1130,3
101_1131,5
101_1132,2
101_1133,2
101_1134,2
101_1135,1
101_1136,0
101_1137,2
101_1138,0
101_1139,2
101_114,2
