Year,Active Businesses,Mean X,Mean Y,Std Distance (m)
1987,880,724015.8386123887,6175934.749168237,2164.458226733859
1988,900,724014.3501820464,6175932.940155877,2165.1202334839068
1989,921,724001.707482583,6175942.419238876,2159.7973138348375
1990,969,724031.5669510587,6175941.649311183,2151.0241419361555
1991,983,724013.6837292619,6175955.319191017,2160.8430816289824
1992,995,724012.5715742332,6175968.74815646,2166.885861560395
1993,1019,724010.3176715849,6175988.902406975,2161.238050794282
1994,1043,724007.2687422113,6175994.143031465,2156.825192095975
1995,1073,723988.2443514068,6176033.616382261,2189.8937717161843
1996,1095,723970.2779970834,6176043.53364059,2193.059725625788
1997,1145,723967.4531352835,6176046.937529601,2211.0601909841907
1998,1199,723952.0166612946,6176069.285798995,2223.856642448129
1999,1245,723961.7207614209,6176085.333306265,2225.2141767860635
2000,1329,723969.765911096,6176087.2990109995,2229.256498729923
2001,1391,723992.282775245,6176070.923832184,2211.470869299157
2002,1468,723972.8112058613,6176079.692036263,2240.74933150359
2003,1521,723986.7305867536,6176050.37602503,2220.5107432117406
2004,1578,723981.414931139,6176056.394132517,2227.7685949733795
2005,1655,723975.0022273011,6176056.239282408,2224.2481357892793
2006,1761,723992.3839875597,6176074.963476598,2237.5351984347726
2007,1865,723991.5096569217,6176067.391732065,2249.4235724102846
2008,1978,723981.180409207,6176080.714865327,2258.7575418641018
2009,2083,723970.0825581646,6176083.687728981,2254.350960772632
2010,2176,723981.7197927301,6176065.591897014,2255.358763844513
2011,2275,723984.1542065846,6176070.53822241,2273.5103131235055
2012,2384,723973.4177862458,6176081.570658362,2289.70282532465
2013,2483,723970.3044457374,6176074.534450614,2297.4580521027374
2014,2681,723968.3325471622,6176088.821880633,2306.7281641594896
2015,2960,723971.6795332411,6176132.906775528,2312.6357854031858
2016,3264,723970.846768637,6176129.488082568,2307.4599545711453
2017,3469,723965.5519583835,6176146.9030421795,2318.4055049983986
2018,3662,723939.7229403205,6176150.034516035,2338.8395621951854
2019,3848,723945.5738556163,6176150.685639104,2336.8666634283622
2020,4066,723944.5490184125,6176157.201200181,2346.727540866521
