EMUB_1990_2020_tsc_timeseries.html, cluster 1 == 2, cluster 2 == 4, cluster 3 == 1, cluster 4 == 6, cluster 5 == 3, cluster 6 == 5
PMB_1990_2020_tsc_timeseries.html, cluster 1 == 6, cluster 2 == 3, cluster 3 == 4, cluster 4 == 5, cluster 5 == 1, cluster 6 == 2
PUB_1990_2020_tsc_timeseries.html, cluster 1 == 1, cluster 2 == 4, cluster 3 == 6, cluster 4 == 2, cluster 5 == 3, cluster 6 == 5
age_18_25_1990_2020_tsc_timeseries.html, cluster 1 == 2, cluster 2 == 4, cluster 3 == 1, cluster 4 == 3, cluster 5 == 6, cluster 6 == 5
age_26_40_1990_2020_tsc_timeseries.html, cluster 1 == 6, cluster 2 == 3, cluster 3 == 5, cluster 4 == 1, cluster 5 == 2, cluster 6 == 4
age_41_55_1990_2020_tsc_timeseries.html, cluster 1 == 2, cluster 2 == 6, cluster 3 == 5, cluster 4 == 1, cluster 5 == 4, cluster 6 == 3
age_56_69_1990_2020_tsc_timeseries.html, cluster 1 == 6, cluster 2 == 5, cluster 3 == 2, cluster 4 == 4, cluster 5 == 1, cluster 6 == 3
crime_main_y_1990_2020_tsc_timeseries.html, cluster 1 == 6, cluster 2 == 4, cluster 3 == 2, cluster 4 == 3, cluster 5 == 1, cluster 6 == 5
disp_inc_1990_2020_tsc_timeseries.html, cluster 1 == 3, cluster 2 == 4, cluster 3 == 6, cluster 4 == 1, cluster 5 == 5, cluster 6 == 2
emp_1990_2020_tsc_timeseries.html, cluster 1 == 6, cluster 2 == 1, cluster 3 == 2, cluster 4 == 3, cluster 5 == 5, cluster 6 == 4
grund_1990_2020_tsc_timeseries.html, cluster 1 == 6, cluster 2 == 3, cluster 3 == 1, cluster 4 == 4, cluster 5 == 2, cluster 6 == 5
gym_erhv_1990_2020_tsc_timeseries.html, cluster 1 == 3, cluster 2 == 2, cluster 3 == 5, cluster 4 == 1, cluster 5 == 6, cluster 6 == 4
lvu_1990_2020_tsc_timeseries.html, cluster 1 == 6, cluster 2 == 2, cluster 3 == 4, cluster 4 == 1, cluster 5 == 3, cluster 6 == 5
mean_price_1990_2020_tsc_timeseries.html, cluster 1 == 1, cluster 2 == 4, cluster 3 == 6, cluster 4 == 3, cluster 5 == 2, cluster 6 == 5
mean_sqm_1990_2020_tsc_timeseries.html, cluster 1 == 4, cluster 2 == 1, cluster 3 == 6, cluster 4 == 3, cluster 5 == 2, cluster 6 == 5
mig_in_1990_2020_tsc_timeseries.html, cluster 1 == 2, cluster 2 == 3, cluster 3 == 6, cluster 4 == 1, cluster 5 == 5, cluster 6 == 4
mig_out_1990_2020_tsc_timeseries.html, cluster 1 == 3, cluster 2 == 1, cluster 3 == 6, cluster 4 == 2, cluster 5 == 4, cluster 6 == 5
ool_1990_2020_tsc_timeseries.html, cluster 1 == 6, cluster 2 == 2, cluster 3 == 1, cluster 4 == 4, cluster 5 == 5, cluster 6 == 3
public_housing_1990_2020_tsc_timeseries.html, cluster 1 == 6, cluster 2 == 1, cluster 3 == 3, cluster 4 == 5, cluster 5 == 2, cluster 6 == 4
unemp_1990_2020_tsc_timeseries.html, cluster 1 == 3, cluster 2 == 5, cluster 3 == 4, cluster 4 == 1, cluster 5 == 2, cluster 6 == 6
